,sentences
0,Tropical Storm Laura was a large but short-lived tropical cyclone that developed over the north-central Atlantic Ocean in late September during the 2008 Atlantic hurricane season.
1,"Laura's remnants later impacted the Netherlands, Germany, and Norway."
2,"The 12th named storm of the season, Laura formed out of a large extratropical area of low pressure located about 1,015 miles(1,633 km) west of the Azores on September 29."
3,Laura slowly developed tropical characteristics throughout the day as it moved over warmer waters.
4,"On the afternoon of September 30, Laura had acquired enough tropical characteristics to be designated a tropical storm."
5,"Shortly after being declared tropical, Laura began to undergo an extratropical transition, which did not fully take place until the morning of October 1."
6,"Laura degenerated into a post-tropical cyclone later that morning, and the final advisory by the National Hurricane Center was issued."
7,"The remnants of Laura contributed to heavy rainfall and power outages in the British Isles, the Netherlands, and Norway on October 5 to 8."
8,"-Meteorological history-
On September 26, a very large extratropical area of low pressure developed along a quasi-stationary frontal system a few hundred miles west of the Azores."
9,The low intensified into the equivalent of a Category 1 hurricane with winds of 80 mph(130 km/h) at 12:00 UTC on September 27.
10,"Over the following days, the low began to lose its frontal features and began to transition into a subtropical cyclone as it traveled in a general westward direction."
11,"By September 29, the low had developed sufficient convection and was declared Subtropical Storm Laura."
12,"Upon being upgraded, cold cloud tops began to wrap around the center of Laura and consolidate near the center of circulation."
13,The convection organized around the center quickly and a satellite pass over the storm revealed that it could be intensifying.
14,A later satellite pass disregarded the possibility of intensification as the intensity was confirmed to be at 60 mph(97 km/h).
15,The overall structure of Laura remained subtropical but there were indications that it was acquiring tropical characteristics.
16,"During the afternoon, satellites revealed that Laura had developed a deep warm core, a characteristic of a tropical cyclone, but the wind field remained subtropical in nature."
17,"By the nighttime hours, the radius of the strongest winds contracted to 80 mi(130 km), much smaller than what is typical of a subtropical cyclone."
18,"However, Laura was still under the influence of an upper-level low and cloud tops remained shallow."
19,"However, the cloud tops became colder overnight and Laura was on the verge of becoming a tropical cyclone by the morning of September 30, but strong interaction with the upper-level low meant it was still subtropical."
20,"Despite moving over colder waters, a water vapor satellite image determined that Laura had separated itself from the upper-level low, signifying it had developed into a tropical cyclone."
21,"Laura was re-classified as a tropical storm at a relatively high latitude, 40.6°N. Laura peaked as a tropical cyclone, attaining maximum 1-minute sustained winds of 60 mph(97 km/h) and a minimum central pressure of 994 millibars(29.4 inHg)."
22,"Not long after being declared tropical, early signs of an extratropical transition appeared."
23,Cold air began to enter the storm on the west side and forecast models showed Laura becoming extratropical the next morning and non-tropical later the next day.
24,"Overnight, convection associated with Laura began to diminish and lose tropical characteristics, but still retained its status."
25,"Early on October 1, the extratropical transition was fully apparent."
26,Laura remained tropical but the cloud pattern was becoming frontal and there was little convection around the center of the system.
27,"With minimal shower and thunderstorm activity remaining around the center of Laura, the storm degenerated into a remnant-low pressure area on October 1 while still producing tropical storm-force winds."
28,"The next day, the remnant system transitioned into an extratropical cyclone and began to re-intensify as it rapidly tracked towards the north."
29,"Early on October 3, the system slowed down as it turned towards the east and strengthened into a hurricane-force cyclone, with winds of 75 mph(121 km/h) and a minimum central pressure of 990 millibars(29 inHg), reaching its extratropical peak."
30,"After accelerating towards the east, another large extratropical cyclone absorbed the remnants of Laura while located several hundred miles west of the British Isles on October 4."
31,"-Impact-
As a tropical cyclone, Laura never approached land, and no damages or fatalities occurred."
32,"Since the storm remained over open waters for most of its life, several ships and oil platforms recorded tropical storm-force winds."
33,The highest recorded winds were at an oil platform with the call sign VEP717 at 03:00 UTC on October 1.
34,Winds were recorded up to 47 knots(54 mph; 87 km/h).
35,"Despite the lack of impact, the storm's remnants were caught in an upper-level jet stream, and steered towards Europe."
36,"There, they contributed to heavy rainfall across portions of Britain on October 5, causing localized accumulation of flood waters."
37,"As a result, Glebe Road near Windermere, England was closed in both directions, and along the A65 road between Old Hutton and Kirkby Lonsdale, previously saturated soil, combined with overwhelmed storm drains resulted in localized flooding."
38,Traffic on the M6 Motorway was slowed due to poor driving conditions.
39,One person had to be rescued from her car after driving into a flooded street.
40,The UK Environment Agency issued 76 flood watches and 21 severe flood warnings as a result of the rainfall.
41,"On October 8, the remnants of Laura reached the Netherlands."
42,"At the time, its rain bands began interacting with a cold front associated with a well-developed low west of Norway, dropping up to 113 mm(4.4 in) of precipitation in the northwestern Netherlands."
43,"Consequently, streets and homes in the village of Hippolytushoef were reportedly inundated."
44,"The large amounts of precipitation broke the daily and monthly rainfall records for October, which were previously set in 2006."
45,"Gradually passing through Norway, the remnants of the storm caused significant damage to electric utilities."
46,"As a result, more than 10,000 people lost power in southern parts of the country."
