index,0,1
0,Linda at peak intensity nearing the Malay Peninsula on November 3,Linda at peak intensity nearing the Malay Peninsula on November 3
1,Meteorological history,Meteorological history
2,Formed,"October 31, 1997"
3,Dissipated,"November 9, 1997"
4,Severe tropical storm,Severe tropical storm
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,95 km/h (60 mph)
7,Lowest pressure,985 hPa (mbar); 29.09 inHg
8,Cyclonic storm,Cyclonic storm
9,3-minute sustained (IMD),3-minute sustained (IMD)
10,Highest winds,65 km/h (40 mph)
11,Category 1-equivalent tropical cyclone,Category 1-equivalent tropical cyclone
12,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
13,Highest winds,120 km/h (75 mph)
14,Overall effects,Overall effects
15,Fatalities,"3,275 total"
16,Damage,$385 million
17,Areas affected,"Philippines, Malaysia, Indonesia, Brunei, Vietnam, Cambodia, Thailand, Burma"
18,IBTrACS,IBTrACS
19,Part of the 1997 Pacific typhoon and North Indian Ocean cyclone seasons,Part of the 1997 Pacific typhoon and North Indian Ocean cyclone seasons
