index,0,1
0,"Tropical Storm Marco near peak intensity, just north of Mexico on October 6","Tropical Storm Marco near peak intensity, just north of Mexico on October 6"
1,Meteorological history,Meteorological history
2,Formed,"October 6, 2008"
3,Dissipated,"October 7, 2008"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,65 mph (100 km/h)
7,Lowest pressure,998 mbar (hPa); 29.47 inHg
8,Overall effects,Overall effects
9,Fatalities,None reported
10,Damage,Minimal
11,Areas affected,Mexico
12,IBTrACS,IBTrACS
13,Part of the 2008 Atlantic hurricane season,Part of the 2008 Atlantic hurricane season
