index,0,1
0,Matthew approaching Nicaragua on September 24,Matthew approaching Nicaragua on September 24
1,Meteorological history,Meteorological history
2,Formed,"September 23, 2010"
3,Remnant low,"September 26, 2010"
4,Dissipated,"September 28, 2010"
5,Tropical storm,Tropical storm
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,60 mph (95 km/h)
8,Lowest pressure,998 mbar (hPa); 29.47 inHg
9,Overall effects,Overall effects
10,Fatalities,126 direct
11,Missing,17
12,Damage,$171 million (2010 USD)
13,Areas affected,"Venezuela, Central America, Mexico, Jamaica"
14,IBTrACS,IBTrACS
15,Part of the 2010 Atlantic hurricane season,Part of the 2010 Atlantic hurricane season
