,Country,State/province/department,Fatalities,Missing,Damage (in USD)
0,Venezuela,Capital District,7[17],0,Unknown
1,Venezuela,Sucre,1[17],0,Unknown
2,Nicaragua,-,70[18],0,$10.2 million[19]
3,Honduras,-,4[20],0,Unknown
4,Belize,-,0,0,Unknown
5,El Salvador,-,1[20],0,Unknown
6,Guatemala,-,0,0,Unknown
7,Mexico,Chiapas,23[21][22],13[21][22],Unknown
8,Mexico,Nuevo León,4[23],1[24],Unknown
9,Mexico,Oaxaca,7[25],0,$161 million[26]
10,Mexico,Veracruz,9[27],3[27],Unknown
11,Total,Total,126,17,$171.2 million
