,0,1
0,Nestor shortly after being classified as a tropical storm on October 18,Nestor shortly after being classified as a tropical storm on October 18
1,Meteorological history,Meteorological history
2,Formed,"October 18, 2019"
3,Extratropical,"October 19, 2019"
4,Dissipated,"October 21, 2019"
5,Tropical storm,Tropical storm
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,60 mph (95 km/h)
8,Lowest pressure,996 mbar (hPa); 29.41 inHg
9,Overall effects,Overall effects
10,Fatalities,3 indirect
11,Damage,$150 million (2019 USD)
12,Areas affected,"Central America, Yucatan Peninsula, Southeastern United States"
13,IBTrACS,IBTrACS
14,Part of the 2019 Atlantic hurricane season,Part of the 2019 Atlantic hurricane season
