index,0,1
0,Tropical Storm Norman near peak intensity on October 9,Tropical Storm Norman near peak intensity on October 9
1,Meteorological history,Meteorological history
2,Formed,"October 9, 2006"
3,Dissipated,"October 15, 2006"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,50 mph (85 km/h)
7,Lowest pressure,1000 mbar (hPa); 29.53 inHg
8,Overall effects,Overall effects
9,Fatalities,None reported
10,Areas affected,"Southwestern Mexico, Western Mexico"
11,IBTrACS,IBTrACS
12,Part of the 2006 Pacific hurricane season,Part of the 2006 Pacific hurricane season
