,0,1
0,Severe Tropical Storm Talas near peak intensity and approaching Vietnam on July 16,Severe Tropical Storm Talas near peak intensity and approaching Vietnam on July 16
1,Meteorological history,Meteorological history
2,Formed,"July 14, 2017"
3,Dissipated,"July 17, 2017"
4,Severe tropical storm,Severe tropical storm
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,95 km/h (60 mph)
7,Lowest pressure,985 hPa (mbar); 29.09 inHg
8,Tropical storm,Tropical storm
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,95 km/h (60 mph)
11,Lowest pressure,985 hPa (mbar); 29.09 inHg
12,Overall effects,Overall effects
13,Fatalities,14 total
14,Damage,$118 million (2017 USD)
15,Areas affected,"Vietnam, South China, Laos, Thailand, Myanmar"
16,IBTrACS,IBTrACS
17,Part of the 2017 Pacific typhoon season,Part of the 2017 Pacific typhoon season
