index,0,1
0,Tropical Storm Vicente at peak intensity on October 20,Tropical Storm Vicente at peak intensity on October 20
1,Meteorological history,Meteorological history
2,Formed,"October 19, 2018"
3,Dissipated,"October 23, 2018"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,50 mph (85 km/h)
7,Lowest pressure,1002 mbar (hPa); 29.59 inHg
8,Overall effects,Overall effects
9,Fatalities,16 total
10,Damage,Unknown
11,Areas affected,"Central America, Southwestern Mexico"
12,IBTrACS / [1],IBTrACS / [1]
13,Part of the 2018 Pacific hurricane season,Part of the 2018 Pacific hurricane season
