index,0,1
0,Warren at peak intensity on October 27,Warren at peak intensity on October 27
1,Meteorological history,Meteorological history
2,Formed,"October 23, 1984"
3,Remnant low,"October 31, 1984"
4,Dissipated,"November 2, 1984"
5,Severe tropical storm,Severe tropical storm
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,110 km/h (70 mph)
8,Lowest pressure,980 hPa (mbar); 28.94 inHg
9,Category 1-equivalent typhoon,Category 1-equivalent typhoon
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,120 km/h (75 mph)
12,Overall effects,Overall effects
13,Fatalities,73 total
14,Damage,"$239,000 (1984 USD)"
15,Areas affected,Philippines
16,Part of the 1984 Pacific typhoon season,Part of the 1984 Pacific typhoon season
