index,sentences
0,Tropical Storm Winona struck Japan during August 1990.
1,"An area of disturbed weather developed within the monsoon trough, located over the East China Sea, on August 4."
2,"Despite the presence of strong wind shear, a tropical depression developed later that day."
3,"The depression initially tracked northeast, bypassing the southern tip of Kyushu."
4,"Thereafter, the depression turned southeast, and on August 6, was believed to have obtained tropical storm intensity."
5,"In response to a building subtropical ridge to its southeast, Winona veered north while gradually intensifying."
6,"On August 9, Winona peaked in intensity, and while near peak intensity, made landfall in Shizuoka Prefecture early the following morning."
7,"Winona transitioned into an extratropical cyclone on August 11, and was last observed on August 14."
8,"The tropical storm lashed the Japanese archipelago with heavy rains, strong winds, and waves up to 7.9 m(26 ft) high."
9,More than 60 scheduled domestic air flights between Tokyo and western Japan were delayed or cancelled.
10,Inter-island ferry service was suspended due to the storm.
11,"A total of 110 trains were cancelled or delayed, which led to 250,000 stranded passengers."
12,"Thirteen people suffered injuries, including three seriously."
13,"Seven reservoirs in Tokyo received more than 20,000,000 short tons(18,143,695 t) of water, which allowed authorities to lift restrictions on water use."
14,"Nearby, in Shizuoka Prefecture, 55 dwellings were flooded, resulting in 211 people homeless."
15,"Nationwide, over 400 roads were damaged and 43 landslides were reported."
16,A total of 686 houses sustained flooding.
17,"In all, one fatality was attributed to the storm and damage was estimated at 8.74 billion yen or $60.3 million(1991 USD)."
18,"-Meteorological history-
Tropical Storm Winona originated from a monsoon trough that was displaced 550 km(340 mi) north of its climatological position."
19,An area of enhanced convection developed within the monsoon trough in the East China Sea around 00:00 UTC on August 4.
20,"Six hours later, the Joint Typhoon Warning Center(JTWC) started tracking the system as a weak low-pressure area developed."
21,"At 18:00 UTC, the Japan Meteorological Agency(JMA) classified the system as a tropical depression."
22,"Initially, strong wind shear left the center to the north of persistent convection."
23,"Following a Dvorak classification of T1.0/50 km/h(30 mph), the JTWC issued a Tropical Cyclone Formation Alert(TCFA) at 11:00 UTC on August 5."
24,"Twenty four hours later, the JTWC started issuing warnings on the system, designating the system as a tropical depression, after the system's convection structure improved and thunderstorm activity increased in coverage."
25,"The depression initially moved northeast, skirting past the southern tip of Kyushu, only to turn southeast under the influence of the monsoonal flow."
