index,0,1
0,Winona early on August 10,Winona early on August 10
1,Meteorological history,Meteorological history
2,Formed,"August 4, 1990"
3,Extratropical,"August 11, 1990"
4,Dissipated,"August 14, 1990"
5,Severe tropical storm,Severe tropical storm
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,110 km/h (70 mph)
8,Lowest pressure,975 hPa (mbar); 28.79 inHg
9,Category 1-equivalent typhoon,Category 1-equivalent typhoon
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,120 km/h (75 mph)
12,Overall effects,Overall effects
13,Fatalities,1 reported
14,Damage,$60.3 million (1990 USD)
15,Areas affected,Japan
16,IBTrACS,IBTrACS
17,Part of the 1990 Pacific typhoon season,Part of the 1990 Pacific typhoon season
