,0,1
0,Agnes at peak intensity early on November 4,Agnes at peak intensity early on November 4
1,Meteorological history,Meteorological history
2,Formed,"October 30, 1984"
3,Dissipated,"November 9, 1984"
4,Violent typhoon,Violent typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,195 km/h (120 mph)
7,Lowest pressure,925 hPa (mbar); 27.32 inHg
8,Category 4-equivalent typhoon,Category 4-equivalent typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,220 km/h (140 mph)
11,Lowest pressure,925 hPa (mbar); 27.32 inHg
12,Overall effects,Overall effects
13,Fatalities,"1,029 total"
14,Missing,273
15,Damage,$90.7 million (1984 USD)
16,Areas affected,PhilippinesVietnam
17,IBTrACS,IBTrACS
18,Part of the 1984 Pacific typhoon season,Part of the 1984 Pacific typhoon season
