index,Meteorological history,Meteorological history.1
0,Formed,"July 21, 1987"
1,Dissipated,"August 2, 1987"
2,Typhoon,Typhoon
3,10-minute sustained (JMA),10-minute sustained (JMA)
4,Highest winds,120 km/h (75 mph)
5,Lowest pressure,970 hPa (mbar); 28.64 inHg
6,Category 1-equivalent typhoon,Category 1-equivalent typhoon
7,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
8,Highest winds,120 km/h (75 mph)
9,Overall effects,Overall effects
10,Fatalities,126
11,Damage,>$1.8 million (1987 USD)
12,Areas affected,"Taiwan, central China, South Korea"
13,IBTrACS,IBTrACS
14,Part of the 1987 Pacific typhoon season,Part of the 1987 Pacific typhoon season
