index,sentences
0,Typhoon Billie was the first typhoon officially monitored by the Joint Typhoon Warning Center.
1,The storm brought floods to several East Asian countries in July 1959.
2,Billie developed from a tropical disturbance west of Kiribati on July 12.
3,"Situated within favorable conditions, the system quickly reached tropical storm intensity before strengthening further to typhoon status a day after formation."
4,Intensification continued until Billie reached its peak intensity on July 14 east of Taiwan with maximum sustained winds of 165 km/h(103 mph) and a minimum barometric pressure of 970 mbar(hPa; 28.64 inHg).
5,Slight weakening occurred before the typhoon made landfall on Zhejiang in China on July 16.
6,"After tracking inland, Billie curved northward and moved over the Yellow Sea before making a final landfall on North Korea on July 17; the storm transitioned into an extratropical cyclone shortly afterwards before dissipating over the Sea of Japan a day later."
7,The rainbands of Billie brought severe flooding to the Philippines and Japan even while the typhoon's center was well removed from those locations.
8,"In the Philippines, one person was killed, and the flood damage totaled US$500,000."
9,"Floods were particularly destructive in Japan, where they destroyed 603 homes in the western portion of the country."
10,"Swaths of crops were inundated by the floodwaters, and 44 people were killed."
11,"Extensive flooding occurred in Taiwan and China, and seven deaths occurred in the former."
12,"In Busan, South Korea, Billie's effects forced the evacuation of thousands of people through tight corridors from a stadium, causing the indirect deaths of 61 people."
13,"-Meteorological history-
Beginning on July 9, the Joint Typhoon Warning Center(JTWC) began dispatching aircraft reconnaissance to investigate an area of thunderstorms between Yap State and Koror that had potential to develop into a tropical cyclone."
14,"Tracking westward, there were few signs of organization or intensification until July 12, when recon found a closed atmospheric circulation within the disturbance, signifying that a tropical depression had developed; JTWC bulletins and warnings commenced accordingly."
15,"Upon development, observations indicated that the system was quickly developing in favorable conditions, with initial reconnaissance flights finding a loose eye measuring 160 km(99 mi) in diameter shortly after classification as a tropical depression."
16,"Twelve hours later, the JTWC upgraded the cyclone to tropical storm status, assigning the name Billie."
17,"At 1200 UTC on July 13, the JTWC upgraded Billie further to typhoon status, making Billie the first tropical cyclone to be monitored by the JTWC since its inception earlier in 1959."
18,"Now tracking steadily towards the northwest, the typhoon reached its peak intensity at 1200 UTC the next day with maximum sustained winds of 165 km/h(103 mph) according to the JTWC and a minimum barometric pressure assessed by the Japan Meteorological Agency(JMA) at 970 mbar(hPa; 28.64 inHg)."
19,By this time Billie's eye had shrunk to a size roughly 50 km(31 mi) in diameter.
20,"At 0900 UTC on July 15, Billie passed just 30 km(19 mi) north of Taiwan; fifteen hours later the typhoon made landfall north of Fuzhou, China in Zhejiang with winds estimated at 120 km/h(75 mph)."
21,"Upon tracking inland on July 16, interaction with China's mountainous terrain disrupted the organization of Billie, weakening it down to tropical storm intensity."
22,"However, the tropical cyclone's stint over land was short-lived as the system quickly curved northward into the Yellow Sea by July 17."
23,"Despite moving back over water, Billie continued to weaken, and made landfall on the western coast of North Korea with winds of 75 km/h(47 mph)."
24,"Over the Korean peninsula, Billie began to intake cold air from a polar front, enabling the system to transition into an extratropical cyclone by 1800 UTC that day."
25,These remnants tracked eastward across the Sea of Japan before they were last noted just off of Hokkaido on July 18.
26,"-Impact-
As Billie tracked to the east of the Philippines, the outer rainbands of the tropical cyclone produced heavy rainfall to the archipelago, the Ryukyu Islands, and the main islands of Japan."
27,"In the Philippines, the rains triggered floods that led to the death of one person and US$500,000 in damage."
28,About 100 people were displaced on the islands due to the rainfall.
29,"The Japanese freighter Bansei Maru was grounded on a reef off of Ishigaki Island due to the rough surf and winds caused by the passing typhoon, necessitating a rescue operation by three United States Navy ships."
30,"On the island, 16 homes were destroyed and 49 were heavily damaged."
31,Inundation of crops was prevalent.
32,"Flooding from Billie was highly destructive in areas of Japan west of the Chūbu region, destroying 603 homes and inundating 77,288 others."
33,Roughly 325 km2(125 sq mi) of farmland was impacted by the rains.
34,"Across Japan, 44 people were killed and 77 were injured."
35,"In northern Taiwan, Billie caused widespread flash flooding, displacing thousands of people and resulting in extensive damage."
36,"Approximately one-third of Taipei was inundated by floodwaters, and hospital patients were forced to evacuate to Okinawa after a Military Assistance Advisory Group compound was impacted by the heavy rains."
37,"Over 10,000 people were rendered homeless in Taipei alone after the city's shanty-type dwellings along with well-built residences were destroyed."
38,"In total, the effects of Billie in Taiwan killed seven people."
39,"Extensive flooding also occurred in nearby eastern China, inundating rice fields."
40,"In order to avoid the storm, thousands of fishermen sought shelter in local harbors."
41,Cleanup and relief operations quickly ensued following the storm's passage.
42,"Storms accompanying Billie and its remnants brought heavy rains and strong winds to South Korea, knocking out police telephone lines in Busan."
43,"The sudden onslaught of these storms caused a stampede of roughly 70,000 people out of a stadium, resulting in the indirect deaths of 68 people, including 51 children."
44,Around 125 people were injured and 40 were hospitalized after the mass evacuation.
45,"-Notes-

== References =="
