index,0,1
0,Surface weather analysis of Billie at peak intensity on July 14,Surface weather analysis of Billie at peak intensity on July 14
1,Meteorological history,Meteorological history
2,Formed,"July 12, 1959"
3,Dissipated,"July 18, 1959"
4,Typhoon,Typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Lowest pressure,970 hPa (mbar); 28.64 inHg
7,Category 2-equivalent typhoon,Category 2-equivalent typhoon
8,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
9,Highest winds,165 km/h (105 mph)
10,Overall effects,Overall effects
11,Fatalities,"51 direct, 68 indirect"
12,Damage,"$500,000 (1959 USD)"
13,Areas affected,"Philippines, Taiwan, China, Japan, South Korea"
14,IBTrACS,IBTrACS
15,Part of the 1959 Pacific typhoon season,Part of the 1959 Pacific typhoon season
