index,sentences
0,"Typhoon Cary, known as Typhoon Ising in the Philippines, was the second of two tropical cyclones to affect Vietnam in a week."
1,"An area of disturbed weather developed southwest of Pohnpei on August 6, 1987."
2,"The system initially remained disorganized, but by August 14, Cary had attained tropical storm intensity."
3,"After initially moving north-northwest, Cary turned west-northwest, although intensification was slow to occur."
4,"On August 15, Cary was upgraded into a typhoon, and on August 17, the typhoon peaked in intensity."
5,Typhoon Cary then made landfall in northern Luzon while at peak intensity.
6,"Across the Philippines, 954 houses were damaged and an additional 89 were destroyed, which left 55,567 people, or 13,247 families that were either homeless or otherwise sought shelter."
7,"Five people died in the country while damage totaled $5.58 million(1987 USD), including $1.45 million from agriculture and $4.13 million from infrastructure."
8,"The storm weakened over land, but re-intensified into a typhoon over the South China Sea."
9,"On August 21, Typhoon Cary passed just south of Hainan, where hundreds of homes were damaged but no fatalities occurred, and subsequently entered the Gulf of Tonkin."
10,"The storm weakened as it approached Vietnam, and on August 23, the storm dissipated inland over Laos."
11,"Across Vietnam, almost 40,000 ha(98,840 acres) of land were flooded or destroyed."
12,Twenty people were killed and many others were injured.
13,"-Meteorological history-
The origins of Typhoon Cary can be traced back to an area of disturbed weather that first developed within the monsoon trough on August 6  about 370 km(230 mi) southwest of Pohnpei, which is located in the eastern Caroline Islands."
14,"The next day, the Joint Typhoon Warning Center(JTWC) started watching the system."
15,"On August 8, the Japan Meteorological Agency(JMA) followed suit."
16,"Over the ensuing four days, the storm's circulation remained broad and its convection was poorly organized."
17,"On August 12, upper-level outflow improved in all four quadrants, which resulted in the JTWC issuing a Tropical Cyclone Formation Alert(TCFA)."
18,"At 23:02 UTC, Hurricane Hunters measured flight level winds of 105 km/h(65 mph) and a minimum barometric pressure of 996 mbar(29.4 inHg)."
19,"Based on this and satellite intensity estimates of 80 km/h(50 mph), the JTWC upgraded the disturbance into Tropical Storm Cary while the storm was located around 1,580 km(980 mi) east-southeast of Manila."
20,"However, post-season analysis by the JTWC revealed that this occurred at 12:00 UTC on August 12."
21,"Following behind Typhoon Betty, Cary initially moved north-northwest, only to turn west-northwest under the influence of a subtropical ridge to the storm's north."
22,"Initially, Betty's outflow inhibited development, but conditions aloft became more favorable once Betty weakened and passed over the Philippines."
23,Dvorak intensity estimates suggested that the typhoon began to rapidly intensify.
24,"However, a Hurricane Hunter aircraft fix around midday on August 14 revealed that the storm was actually weakening and its center was becoming difficult to locate."
25,"Despite these developments, the JMA upgraded Cary into a tropical storm at noon that day."
26,"Around this time, the Philippine Atmospheric, Geophysical and Astronomical Services Administration(PAGASA) also started tracking the storm and assigned it with the name Ising."
27,"Early on August 15, the JTWC reported that Cary attained typhoon intensity, while the JMA upgraded Cary into a severe tropical storm."
28,"The final Western Pacific Hurricane Hunter mission – associated with the 54th Weather Reconnaissance Squadron – was flown through Cary later that day, reporting winds of 115 km/h(70 mph) and a barometric pressure of 990 mbar(29 inHg)."
29,This was significantly lower than the Dvorak-based 170 km/h(105 mph) operational estimate from the JTWC.
30,"At around 12:00 UTC on August 16, the JMA classified Cary as a typhoon."
31,"Shortly thereafter, a ragged eye appeared on satellite imagery."
32,"At 06:00 UTC on August 17, the JTWC also estimated Cary reached its peak intensity, with winds of 160 km/h(100 mph)."
33,"Six hours later, the JMA estimated that Cary attained winds of 135 km/h(85 mph), its peak intensity."
34,"Shortly after attaining maximum intensity, Typhoon Cary turned slightly south of west and made landfall on eastern Luzon."
