,0,1
0,Typhoon Cary on August 17,Typhoon Cary on August 17
1,Meteorological history,Meteorological history
2,Formed,"August 7, 1987"
3,Dissipated,"August 24, 1987"
4,Typhoon,Typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,140 km/h (85 mph)
7,Lowest pressure,960 hPa (mbar); 28.35 inHg
8,Category 2-equivalent typhoon,Category 2-equivalent typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,155 km/h (100 mph)
11,Overall effects,Overall effects
12,Fatalities,25
13,Damage,$5.58 million (1987 USD)
14,Areas affected,"Philippines, Hainan, Hong Kong, Vietnam"
15,IBTrACS,IBTrACS
16,Part of the 1987 Pacific typhoon season,Part of the 1987 Pacific typhoon season
