index,0,1
0,Dot nearing the Philippines shortly after peak intensity on October 17,Dot nearing the Philippines shortly after peak intensity on October 17
1,Meteorological history,Meteorological history
2,Formed,"October 13, 1985"
3,Dissipated,"October 22, 1985"
4,Violent typhoon,Violent typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,220 km/h (140 mph)
7,Lowest pressure,895 hPa (mbar); 26.43 inHg
8,Category 5-equivalent super typhoon,Category 5-equivalent super typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,280 km/h (175 mph)
11,Lowest pressure,897 hPa (mbar); 26.49 inHg
12,Overall effects,Overall effects
13,Fatalities,90
14,Damage,$105 million (1985 USD)
15,Areas affected,"Philippines, Hainan, Vietnam"
16,IBTrACS,IBTrACS
17,Part of the 1985 Pacific typhoon season,Part of the 1985 Pacific typhoon season
