index,sentences
0,"Typhoon Fanapi, known in the Philippines as Typhoon Inday, was a damaging and deadly typhoon that struck Taiwan and southeastern China in mid-September 2010."
1,It was the deadliest typhoon to hit Taiwan since Typhoon Morakot in August 2009.
2,It was the eleventh tropical storm and fourth typhoon of the very inactive season.
3,"The storm formed on September 14 east of the Philippines and moved slowly for several days, initially to the northwest, then curving to the northeast before turning westward due to a ridge to the north."
4,"During this time, Fanapi intensified to reach 10 minute maximum sustained winds of 175 km/h(109 mph)."
5,"Fanapi made its first landfall on September 19 over Hualien, Taiwan, becoming the first typhoon to hit the island since Typhoon Morakot in August 2009."
6,"Later that day made a final landfall in Fujian, China."
7,The storm dissipated on September 21 over southern China.
8,"The typhoon first affected southern Japan, bringing rainfall to the outer Miyako Islands."
9,"However, impacts were worst in Taiwan and mainland China."
10,"In southern Taiwan, Fanapi dropped heavy rainfall, peaking at 1,126 mm(44.3 in) in Majia, Pingtung."
11,"About 150,000 people evacuated their homes, and there were heightened preparations after the damaging effects of Typhoon Morakot the previous year."
12,"The heavy rainfall from Fanapi caused landslides, heavy crop damage, and flooding, notably in the major city of Kaohsiung, where rains totaled 506 mm(19.9 in)."
13,"In some areas of the city, the floods reached over one-story deep, inundating cars and causing about NT$3 billion(New Taiwan dollar, US$93.75 million) in industrial damage."
14,"There were five deaths in Taiwan during the storm's passage, and damage was estimated at NT$5 billion(US$158 million)."
15,"Later, the threat from Fanapi caused 264,000 people to evacuate their homes in southeastern China."
16,"The storm dropped heavy rainfall in the region, reaching 640 mm(25 in) in Guangdong."
17,"Fanapi also caused landslides there, killing 100 people, including 28 in Xinyi due to a collapse at a mine."
18,"Also in Guangdong, the storm wrecked 16,000 homes and flooded 66,400 ha(164,000 acres) of crop fields."
19,"Provincial damage was estimated at ¥5.15 billion(CNY, $757.05 million)."
20,The name Fanapi was later retired due to the heavy damage.
21,"-Meteorological history-
An area of convection, or thunderstorms, persisted west of Guam on September 13, in association with the monsoon trough."
22,"The system gradually developed a low-level circulation and rainbands, aided by low wind shear from an anticyclone aloft."
23,"Late on September 14, the Japan Meteorological Agency(JMA) designated the system as a tropical depression to the east of the Philippine island of Luzon."
24,"Around the same time, the Joint Typhoon Warning Center(JTWC) classified the system as Tropical Depression 12W. A nearby tropical upper tropospheric trough limited the depression's outflow to the north, although convection continued to increase."
25,The depression moved northwestward along the southwestern periphery of a ridge.
26,"At 03:00 UTC on September 15, the Philippine-based PAGASA began warning on the system, giving it the local name Inday."
27,"Nine hours later, the JMA named the system Tropical Storm Fanapi."
28,"As a strengthening tropical storm, Fanapi developed deeper convection near the center."
29,"A passing trough to the north weakened the ridge and caused the storm to slow, turning northeastward by September 16."
30,"That day, Fanapi developed an eye feature, becoming a typhoon at 18:00 UTC."
31,"As the ridge built into the East China Sea, the storm responded by turning to the northwest, and at the same time, outflow improved to the north."
32,The eye organized further as it contracted to a diameter of 19 km(12 mi).
33,"By that time, the typhoon was moving due westward toward Taiwan, steered by a ridge over northeastern China."
34,"At 06:00 UTC on September 18, the JTWC estimated that Fanapi attained peak 1 minute winds of 195 km/h(121 mph)."
35,"Around the same time, the JMA estimated peak 10 minute winds of 175 km/h(109 mph)."
36,"Early on September 19, Typhoon Fanapi made landfall over eastern Taiwan near Hualien City with winds of 162 km/h(101 mph), according to Taiwan's Central Weather Bureau."
37,"The storm subsequently weakened over land, dipping southwestward as convection diminished over the northern portion of the storm."
38,"However, the storm resumed its westward trajectory and soon moved over the Taiwan Strait as a severe tropical storm."
39,"The thunderstorms reorganized slightly as Fanapi reached open waters, and a nearby ship reported winds of 120 km/h(75 mph)."
40,"Early on September 20, the storm made a second landfall on southeastern China near Fujian and weakened further over land, although thunderstorms persisted southeast of the circulation along the coast."
41,Fanapi weakened into a tropical depression later that day and dissipated late on September 21.
42,"-Preparations-
In Taiwan, the threat of Fanapi forced the closure of rail lines and cancellation of flights from Kaohsiung International Airport, and at least 156 flights were canceled."
43,"The storm caused the Kaohsiung seaport in southern Taiwan to close, thus delaying shipments from nearby chemical plants."
44,Many boats rode out the storm at port.
45,"Portions of the Kaohsiung Mass Rapid Transit system suspended their service, and the Maokong Gondola was shut down during the storm."
46,"Ahead of the storm, officials issued landslide warnings along 61 rivers, and residents in landslide-prone areas were ordered to evacuate."
47,"About 10,000 people left their homes in mountainous areas."
48,"Hotels were also evacuated, and residents boarded up windows, with schools and businesses closed."
49,"Overall, about 150,000 were evacuated due to the storm, with over 7,500 people staying in their houses and requiring assistance to leave after the floods."
50,"After the damaging impacts of Typhoon Morakot from the year prior, officials enacted enhanced preparations for Fanapi, including activating over 19,000 emergency workers."
51,"Anticipating heavy rainfall, workers at the Tsengwen Reservoir drained waters ahead of the storm."
52,"Farmers also rushed to complete harvests, causing a temporary drop in price due to excess supply."
53,The inaugural Yeangder Tournament Players Championship was reduced to a 54-stroke play due to the Typhoon.
54,"The shipping route linking Xiamen, in east China's Fujian Province, and Kinmen(Quemoy), in Taiwan was closed as the typhoon closed in."
55,"Chinese officials ordered over 55,000 fishing boats to return to port in Fujian."
56,"In Xiamen province north of where Fanapi moved ashore, all kindergarten through middle schools were closed."
57,"Across Fujian province, 186,000 people evacuated due to the storm."
58,The Fuzhou Changle International Airport in the province's capital city canceled 37 flights due to the storm.
59,"About 78,000 people in low-lying areas of Guangdong left their houses."
60,Oil futures rose in Asia due to the potential for the storm affecting China's offshore oil platforms.
61,"While Fanapi was still over Taiwan, the Hong Kong Observatory issued the Number 1 Standby Warning and later upgraded it to a warning Number 3 for Hong Kong."
62,The storm ultimately passed about 150 km(93 mi) north of the territory.
63,"-Impact-
--Japan--
While moving toward Taiwan, Fanapi affected the southernmost islands of Japan, bringing heavy rainfall to Okinawa Prefecture."
64,Ohara recorded 221 mm(8.7 in) of precipitation during the storm's passage.
65,"High winds were recorded as well, peaking at 158 km/h(98 mph) at Taketomi, Okinawa."
66,The storm caused flights to be canceled in the Miyako Islands.
67,"--Taiwan--
By the time Fanapi made landfall, portions of Taiwan reported 300 mm(12 in) of rainfall."
68,"Overall rainfall peaked at 1,126 mm(44.3 in) on the island in Majia, Pingtung."
69,These were the heaviest rainfall totals in 10 years in some locations.
70,"This led to flooding in the southern portion of the island, with flash flooding occurring in Kaohsiung, the island's second largest city."
71,"Rainfall rates there reached 100 mm(3.9 in) per hour at one point, totaling 506 mm(19.9 in); this was the heaviest in 50 years."
72,Several reservoirs were filled to capacity across Taiwan.
73,Wind gusts also reached 220 km/h(140 mph).
74,"During the storm, a Mw5.2 earthquake struck eastern Taiwan, although it did not cause any additional injuries."
75,"In Kaohsiung, nine of the eleven administrative districts were filled with water."
76,"Thousands of homes and vehicles were flooded, reaching over one-story in height."
77,"Flooding shut down 10 petrochemical plants in Kaohsiung, causing NT$3 billion(New Taiwan dollar, US$93.75 million) in industrial damage."
78,"Also in the city, a nursing home was flooded while residents were inside, forcing firemen and rescuers to evacuate the senior citizens; due to inadequate staffing during the storm, the facility was later shut down."
79,"The severe flooding in Kaohsiung resulted from inadequate handling by the sewage system, which was designed to handle 321 mm(12.6 in) of daily precipitation."
80,"Flood systems were designed to withstand a 1 in 50 year flood, and the deluge from Fanapi was previously estimated to occur only once every 200 years; after the storm, the government began the process of reviewing the standards."
81,"High winds broke windows across Taiwan, while also knocking down trees and traffic lights."
82,"The storm damaged 438 schools, mostly affecting colleges and universities."
83,"The passage of Fanapi left about 890,000 homes without power, and another 17,000 without water."
84,"Floods also affected 23,470 ha(58,000 acres) of crop fields, mostly to banana plantations."
85,"The storm killed 8,791 pigs and 533,000 chickens, and many fish breeding ponds were marred."
