index,0,1
0,"Typhoon Gene on September 29, 1990","Typhoon Gene on September 29, 1990"
1,Meteorological history,Meteorological history
2,Formed,"September 22, 1990"
3,Extratropical,September 30
4,Dissipated,"October 1, 1990"
5,Typhoon,Typhoon
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,150 km/h (90 mph)
8,Lowest pressure,950 hPa (mbar); 28.05 inHg
9,Category 1-equivalent typhoon,Category 1-equivalent typhoon
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,150 km/h (90 mph)
12,Overall effects,Overall effects
13,Fatalities,6 direct
14,Damage,$158 million (1990 USD)
15,Areas affected,Japan
16,IBTrACS,IBTrACS
17,Part of the 1990 Pacific typhoon season,Part of the 1990 Pacific typhoon season
