,sentences
0,"Typhoon Irma, known in the Philippines as Super Typhoon Anding, was a powerful typhoon that struck the Philippines in November 1981."
1,"The twenty-fifth named storm and fourteenth typhoon of the 1981 Pacific typhoon season, Irma originated from an active monsoon trough to the east of the Philippines."
2,"Following an increase in organization, the system was first classified on November 18 and was subsequently upgraded into a tropical storm on the next day as it moved westward."
3,"After passing near Guam, Irma continued to deepen, and was estimated to have attained typhoon intensity early on November 21."
4,"The intensification rate accelerated thereafter, and on the afternoon of November 22, Irma reached its peak wind speed of 205 km/h(125 mph)."
5,"After maintaining this intensity for 16 hours, Irma weakened considerably due to interaction with the mountainous terrain of the Philippines."
6,"On the morning of November 24, Irma moved ashore northeast of Manila, with winds of 165 km/h(105 mph)."
7,"The storm rapidly deteriorated overland, but was still believed to have been a typhoon when it emerged into the South China Sea."
8,Irma then began to re-curve towards the northwest while weakening; the cyclone was estimated to have obtained extratropical characteristics on November 26.
9,"Affecting an area already severely impacted by Typhoon Hazen, Irma brought significant damage and flooding to the Philippines, especially in the province of Camarines Norte."
10,"Additionally, a 15 m(50 ft) tidal wave was noted in four towns in the Camarines Sur province, resulting in the deaths of 137 people."
11,"The nearby village of Benagaspasan was nearly demolished, where 47 fatalities occurred."
12,"In all, 595 were killed due to Irma."
13,"A total of 482,678 persons were directly affected by Irma."
14,"Irma destroyed or damaged 119,233 dwellings, which left nearly 40,000 homeless."
15,"A total of 24,137 families or 141,974 individuals left their homes, including 57,198 that sought emergency shelter."
16,"Overall, damage totaled to $63.3 million(1981 USD)."
17,"-Meteorological history-
Typhoon Irma originated from an active monsoon within the vicinity of Micronesia."
18,"The second of three storms to form within this region in mid-November 1981, the cyclone was first noted on November 10 as a ""zone of strong convection activity""."
19,"Although the zone was well-organized, there was initially little to no evidence of a low-level circulation."
20,"However, a weak circulation was detected on a few days later, and on November 15, the system was situated to the east of Ponape as satellite imagery indicated that convection was developing."
21,"During the next three days, thunderstorm activity waxed and waned as the disturbance moved north and then west."
22,"During this time, the disturbance was located 1,100 km(685 mi) east of Typhoon Hazen."
23,"By November 18, shower activity had improved in both coverage and organization."
24,"That afternoon, the Joint Typhoon Warning Center(JTWC) issued a Tropical Cyclone Formation Alert(TCFA) for the disturbance."
25,"Within two hours, the Japan Meteorological Agency(JMA) began to track the system."
26,"On the morning of November 19, a Hurricane Hunter aircraft reported winds of 55 km/h(35 mph), prompting the JTWC to classify the system as a tropical depression."
27,"After passing north of Guam, Irma was upgraded into a tropical storm by both agencies."
28,"Around this time, the JTWC expected that Irma would pass south of a front and then turn southwest."
29,"Tropical Storm Irma began to deepen more rapidly, and on November 20, the JMA upgraded Irma into a severe tropical storm."
30,"Thereafter, Irma turned west as a subtropical ridge built north and northwest of the storm, which protected Irma from feeling the effects of strong wind shear."
31,"At 1800 UTC on November 20, the JTWC upgraded Irma into a typhoon."
32,"Later that evening, a Hurricane Hunter aircraft reported winds of 160 km/h(100 mph) and a pressure of 968 mbar(28.6 inHg)."
33,"Following the formation of a 74 km(46 mi) eye, the JMA declared that Irma attained typhoon status at 0000 UTC on November 21; subsequently, the system passed south of a second cold front."
34,"By 0900 UTC that day, rapid deepening to pressures below 925 mbar(27.3 inHg) was anticipated by the JTWC."
