index,0,1
0,Irma at peak intensity on November 22,Irma at peak intensity on November 22
1,Meteorological history,Meteorological history
2,Formed,"November 18, 1981"
3,Dissipated,"November 27, 1981"
4,Violent typhoon,Violent typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,205 km/h (125 mph)
7,Lowest pressure,905 hPa (mbar); 26.72 inHg
8,Category 4-equivalent super typhoon,Category 4-equivalent super typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,250 km/h (155 mph)
11,Lowest pressure,902 hPa (mbar); 26.64 inHg
12,Overall effects,Overall effects
13,Fatalities,595
14,Damage,$63.3 million (1981 USD)
15,Areas affected,Philippines
16,IBTrACS,IBTrACS
17,Part of the 1981 Pacific typhoon season,Part of the 1981 Pacific typhoon season
