,0,1
0,Typhoon Isa at peak intensity on April 20,Typhoon Isa at peak intensity on April 20
1,Meteorological history,Meteorological history
2,Formed,"April 12, 1997"
3,Extratropical,"April 23, 1997"
4,Dissipated,"April 24, 1997"
5,Very strong typhoon,Very strong typhoon
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,155 km/h (100 mph)
8,Lowest pressure,940 hPa (mbar); 27.76 inHg
9,Category 5-equivalent super typhoon,Category 5-equivalent super typhoon
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,270 km/h (165 mph)
12,Lowest pressure,930 hPa (mbar); 27.46 inHg
13,Overall effects,Overall effects
14,Fatalities,
15,Damage,$1 million
16,Areas affected,"Pohnpei, Guam, Rota"
17,IBTrACS,IBTrACS
18,Part of the 1997 Pacific typhoon season,Part of the 1997 Pacific typhoon season
