,sentences
0,"Typhoon Jebi, known in the Philippines as Typhoon Maymay, was the costliest typhoon in Japan's history in terms of insured losses."
1,Jebi formed from a tropical disturbance south-southwest of Wake Island on August 26 and became the twenty-first named storm of the 2018 Pacific typhoon season on August 27.
2,"Amid favorable environmental conditions, Jebi quickly strengthened into a typhoon on August 29 as it headed west and rapidly intensified as it passed the Northern Mariana Islands on August 30."
3,"Jebi reached its peak intensity as a Category 5-equivalent typhoon on August 31, with 10-minute sustained winds of 195 km/h(120 mph), 1-minute sustained winds of 285 km/h(180 mph), and a minimum pressure of 915 hPa(mbar; 27.02 inHg)."
4,"Afterwards, Jebi began a slow weakening trend as it turned northwest, briefly passing through the Philippine Area of Responsibility on September 2."
5,"Jebi accelerated north-northeast towards Japan on September 3 as it interacted with the westerlies, and made landfalls over Shikoku and near Kobe early on September 4."
6,Jebi quickly weakened over land and became an extratropical cyclone later that day over the Sea of Japan.
7,Its remnants moved over the Russian Far East before dissipating on September 9.
8,Jebi was the strongest typhoon to make landfall in Japan since Yancy in 1993 and left significant effects across the Kansai region.
9,"The typhoon's powerful winds, which broke wind records at 100 Japanese weather stations, damaged nearly 98,000 houses and left nearly 3 million customers without electricity after blowing down power lines."
10,"Heavy rains combined with wind and storm surge to flood over 700 houses and cause widespread damage to infrastructure, including several shrines and historical buildings."
11,"Agricultural damage from the adverse weather conditions was significant, with losses from the agricultural, forestry, and fishing industries valued at almost JP¥47 billion(US$430 million)."
12,"Fruits were blown off trees, crops were lodged, and power outages affected the storage of livestock and produce."
13,"Storm surge inundated part of Kansai International Airport, which, combined with wind and rain damage to the terminals, forced the airport to close from September 4 to 13."
14,"Furthermore, access to the airport was cut off when the typhoon blew a tanker into the bridge connecting the airport to the mainland; repairs to the bridge were completed seven months later."
15,Fourteen people were killed in Japan—mostly from falls and flying debris—and 980 were injured.
16,"Insured losses were estimated at US$13–14 billion, of which more than a third was from Osaka Prefecture."
17,"Elsewhere, Jebi brought minor flooding to the Northern Mariana Islands as it passed to the north on August 31."
18,Heavy swells produced by Jebi caused large waves along the coast of Taiwan that resulted in seven fatalities(including a suspected suicide) from September 2 to 3.
19,"As an extratropical cyclone on September 5, Jebi produced gusty winds across the Russian Far East, causing power outages and injuring three."
20,"Despite the extensive economic losses brought on by the storm, the name Jebi was initially not retired after the 2018 season, and was used again in 2024."
21,"However, during the 57th session of the Typhoon Committee, the name was requested by the UK Met Office to be retired after the 2024 season, due to its pronunciation being identical to that of a derogatory word in the Croatian language, where ""jebi"" means ""fuck"", as opposed to its meaning in Korean, where it referred to the barn swallow(Hirundo rustica)."
22,"The replacement name, to be provided by South Korea, will be announced in 2026."
23,"-Meteorological history-
A tropical disturbance was first noted by the Joint Typhoon Warning Center(JTWC) on August 26 about 1,020 km(635 mi) south-southwest of Wake Island."
24,"The disturbance increased in organization over the next few hours, with rainbands wrapping into a developing low-level circulation center."
25,"The Japan Meteorological Agency(JMA) classified the system as a tropical depression at 18:00 UTC on August 26, with the JTWC following suit at 06:00 UTC the next day."
26,"Further development was expected as the depression tracked northwest around a subtropical ridge, with high sea surface temperatures and low wind shear ahead in the system's anticipated path."
27,"The JMA deemed the cyclone to have attained tropical storm status at 18:00 UTC on August 27 and assigned it the name Jebi; with this, Jebi became the twenty-first named storm of the 2018 Pacific typhoon season."
28,The JTWC similarly upgraded the system six hours later.
29,"With favorable winds aloft aiding the development of thunderstorm activity, Jebi continued to strengthen as it turned more westward under the influence of the subtropical ridge."
30,The JMA upgraded Jebi to a severe tropical storm at 12:00 UTC on August 28 as its maximum sustained winds increased to 95 km/h(60 mph).
31,"Amid the favorable environment, Jebi began to intensify more quickly on August 29, reaching typhoon status at 06:00 UTC as it developed an eye feature visible on microwave satellite imagery."
32,"Rapid intensification commenced later that day, as a central dense overcast blossomed over the system's center."
33,"From August 29 to 30, Jebi's satellite presentation swiftly improved as its eye cleared out and contracted to a diameter of 19 km(12 mi), while convection surrounding the eye deepened."
34,"The JTWC analyzed that Jebi intensified into a super typhoon by 18:00 UTC on August 30 with winds of 260 km/h(160 mph), representing an increase of 95 km/h(60 mph) in the past 24 hours."
35,The JMA reported that Jebi reached its peak intensity at 00:00 UTC on August 31 with winds of 195 km/h(120 mph) and a central pressure of 915 hPa(mbar; 27.02 inHg); the JTWC estimated that Jebi's winds continued to increase and peaked at 285 km/h(180 mph) at 06:00 UTC.
36,"Jebi's intensity leveled off thereafter as an eyewall replacement cycle began, with the original eyewall encircled by a larger, secondary eyewall."
37,The cycle completed by 21:00 UTC on August 31 while Jebi began to curve northward through a weakness in the subtropical ridge.
38,"Drier air then began to impinge on the southern portion on the circulation, resulting in continued weakening."
39,"At the same time, upper-level winds pushed subsiding air over the western part of Jebi's circulation, causing its convection to warm."
40,"As a result, the JTWC assessed that Jebi had weakened below super typhoon status by 18:00 UTC on September 1."
41,"Travelling northwestwards, Jebi entered the Philippine Area of Responsibility(PAR) at 06:00 UTC on September 2 and received the local name Maymay; Jebi exited the  PAR roughly 12 hours later."
42,Slow weakening continued through September 3 as dry air and subsidence continued to affect Jebi's circulation.
43,"Despite this, Jebi managed to maintain a ragged yet well-defined eye."
44,"Later on September 3, an extratropical cyclone approaching from the northwest began to accelerate Jebi north-northeast, while interaction with the mid-latitude westerlies caused Jebi to begin extratropical transition."
45,"Racing poleward, Jebi made landfall over southern Tokushima Prefecture at around 03:00 UTC on September 4, possessing winds of around 155 km/h(100 mph)."
46,"In the next two hours, Jebi crossed Osaka Bay and made another landfall around 05:00 UTC near Kobe, Hyōgo Prefecture."
47,"Land interaction and increasing wind shear rapidly weakened the system as it crossed Japan, with the JTWC declaring that Jebi was no longer a tropical cyclone at 12:00 UTC on September 4, just hours after it entered the Sea of Japan."
48,"The JMA downgraded Jebi to a severe tropical storm at 18:00 UTC, before later declaring it post-tropical at 00:00 UTC on September 5 just offshore Terneysky District, Russia."
49,"Over the next two days, the remnants of Jebi headed generally north over the Russian Far East while gradually weakening, crossing the 60th parallel north before the JMA ceased tracking the system at 06:00 UTC on September 7."
