index,0,1
0,Jebi at peak intensity northwest of Guam on August 31,Jebi at peak intensity northwest of Guam on August 31
1,Meteorological history,Meteorological history
2,Formed,"August 26, 2018"
3,Extratropical,"September 5, 2018"
4,Dissipated,"September 9, 2018"
5,Violent typhoon,Violent typhoon
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,195 km/h (120 mph)
8,Lowest pressure,915 hPa (mbar); 27.02 inHg
9,Category 5-equivalent super typhoon,Category 5-equivalent super typhoon
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,285 km/h (180 mph)
12,Lowest pressure,907 hPa (mbar); 26.78 inHg
13,Overall effects,Overall effects
14,Fatalities,21 total
15,Damage,$13 billion (2018 USD) (Fourth-costliest typhoon on record in nominal terms)
16,Areas affected,"Northern Mariana Islands, Taiwan, Japan, Russian Far East"
17,IBTrACS,IBTrACS
18,Part of the 2018 Pacific typhoon season,Part of the 2018 Pacific typhoon season
