index,0,1
0,Typhoon Judy at peak intensity on September 9,Typhoon Judy at peak intensity on September 9
1,Meteorological history,Meteorological history
2,Formed,"September 4, 1982"
3,Extratropical,"September 12, 1982"
4,Dissipated,"September 15, 1982"
5,Typhoon,Typhoon
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,150 km/h (90 mph)
8,Lowest pressure,955 hPa (mbar); 28.20 inHg
9,Category 2-equivalent typhoon,Category 2-equivalent typhoon
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,165 km/h (105 mph)
12,Lowest pressure,955 hPa (mbar); 28.20 inHg
13,Overall effects,Overall effects
14,Fatalities,26
15,Missing,8
16,Damage,$505 million (2023 USD)
17,Areas affected,Japan
18,IBTrACS,IBTrACS
19,Part of the 1982 Pacific typhoon season,Part of the 1982 Pacific typhoon season
