,sentences
0,"Typhoon Kyle, known in the Philippines as Typhoon Luring, was the first of five deadly tropical cyclones that affected and impacted the Philippines and Vietnam during the 1993 Pacific typhoon season."
1,"The twenty-seventh named storm and thirteenth typhoon of the season, Kyle formed from a monsoon depression near Palau, associated with bursts of scattered convection."
2,"It then drifted west-northwest, strengthening to a tropical storm the next day."
3,"Land interaction prevented further intensification, and it crossed through the central Philippines while maintaining its intensity on November 20."
4,"Upon entering the South China Sea, the system strengthened to a severe tropical storm before rapidly intensifying to a typhoon, three days later."
5,"It soon reached its peak intensity that day, with one-minute maximum sustained winds of 175 km/h(110 mph), equivalent to a mid-level Category 2 typhoon."
6,It held its strength until landfall in Vietnam later that evening.
7,"Weakening through the mountainous terrain of the country, it dissipated near the Cambodia–Thailand border on November 24."
8,"The typhoon caused over 106 confirmed deaths, mainly are from Vietnam."
9,"Landslides and large swaths of flash floods are also seen and reported, as far as Thailand."
10,"The typhoon, overall, caused over $1.5 million(1993 USD) in total, mainly are from washed-out crops and farmlands in the country."
11,"The Philippines also reported some power outages, flooding and a fatality, but due to the sparse coverage from the typhoon, the total damages and overall deaths were unknown."
12,"-Meteorological history-
At 12:00 UTC on November 17, the Joint Typhoon Warning Center started to monitor a monsoon depression associated with a weak area of convection near Yap State."
13,The Japan Meteorological Agency(JMA) of Japan also started to mention the disturbance in their bulletins at that time.
14,The disturbance had blossoming convection around its disorganized low-level circulation center at that time.
15,"It slowly moved to the west-northwest while slowly organizing, behind a favorable environment of low wind shear and warm sea surface temperatures."
16,"Around 06:00 UTC of November 19, the JTWC started to mention the developing system in their Significant Tropical Weather Advisories, as the disturbance became well-defined in satellite imagery."
17,"Roughly six hours later, the agency upgraded the system to a tropical depression without issuing a Tropical Cyclone Formation Alert due to the system quickly developing."
18,"At 18:00 UTC that day, the system attained a tight convective curvature, leading the JTWC to upgrade the system to a tropical storm and named it Kyle."
19,The JMA also issued their first advisory on Kyle as a tropical storm at the same time.
20,"The system became slightly disorganized as it started to approach the Philippines due to wind shear, but still continued to organize despite the environment."
21,"Early the next day, it passed to the south of Homonhon Island while traversing Leyte Gulf before making landfall on Abuyog, Leyte between 03:00 and 06:00 UTC as a minimal storm, with 65 km/h(40 mph) winds."
22,"It then traversed the province before moving through Ormoc Bay, just before another landfall between 09:00 and 10:00 UTC on Merida, Leyte."
23,"There, Kyle became highly disorganized while moving through the Visayas, although it remained a tropical storm."
24,The storm then crossed the coast near Bagay before arriving again in the Visayan Sea.
25,"Landfall took place again on 18:00 UTC on Batad, Iloilo before crossing out on Sulu Sea, where it slightly strengthened."
26,"It then passed between Busuanga and Culion Island in Palawan on 09:00 UTC of the next day, before heading out to the South China Sea."
27,"As Kyle moved again to a favorable environment, the system strengthened to a severe tropical storm before intensifying to a minimal typhoon, while located approximately 300 km, north-northwest of Nansha District."
28,A small and elongated eye also emerged at this time.
29,"Early the next day, Kyle further strengthened to a mid-level typhoon and reached its peak intensity of 175 km/h(110 mph) and a minimum barometric pressure of 960 mbar, while approaching the coast of Vietnam on November 23."
30,"It held this intensity until it slightly weakened before its final landfall on the country, 380 km to the northeast of Ho Chi Minh City on the evening of the same day."
31,It rapidly weakened as it traversed Vietnam before entering the nearby Cambodia as a tropical depression.
32,The last warning was issued by the JMA and JTWC as Kyle dissipated near the Cambodia-Thailand border on November 24.
33,"-Preparations and impact-
--Philippines--
Hundreds of individuals in Visayas were forced to flee due to Tropical Storm Kyle."
34,"The storm, despite weak, spawned numerous flash floods and landslides that flooded homes in Leyte, Samar and Cebu."
35,A fatality was reported in an unknown place when a 10-year old kid were electrocuted by a live wire.
36,There were also reported crop and farmland damages to the central part of the country.
37,"In total, Kyle caused only minor damages, though the total damages and overall deaths were unknown due to sparse coverages."
38,"--Vietnam--
The Central Committee for Flood and Storm Control(CCFSC) issued typhoon watches and warnings to the coastal portions of the country and some residents were evacuated to safe places."
39,"Officials in Vietnam reported 106 deaths, 59 missing, and 476 injuries due to the typhoon."
40,"Torrential downpour and strong winds destroyed 5,601 houses and submerged over 11,217 more."
41,Some schools also collapsed and bridges were washed out due to strong currents from overflowed rivers.
42,"Over 17,212 hectares of farmlands were also destroyed and hundreds of fishing boats sustained damages."
43,The total damages from Kyle in the country were estimated at $1.5 million(1993 USD).
44,"--Thailand--
The remnants of the storm also caused floods in Thailand."
45,"Some authorities in Nakhon Si Thammarat reported three fatalities, all for unknown reasons."
