index,0,1
0,Typhoon Mamie making landfall over eastern China on August 18,Typhoon Mamie making landfall over eastern China on August 18
1,Meteorological history,Meteorological history
2,Formed,"August 15, 1985"
3,Dissipated,"August 21, 1985"
4,Typhoon,Typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,120 km/h (75 mph)
7,Lowest pressure,975 hPa (mbar); 28.79 inHg
8,Category 1-equivalent typhoon,Category 1-equivalent typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,130 km/h (80 mph)
11,Overall effects,Overall effects
12,Fatalities,17 direct
13,Areas affected,China
14,IBTrACS,IBTrACS
15,Part of the 1985 Pacific typhoon season,Part of the 1985 Pacific typhoon season
