,0,1
0,Melor at peak intensity near Samar on December 14,Melor at peak intensity near Samar on December 14
1,Meteorological history,Meteorological history
2,Formed,"December 10, 2015"
3,Dissipated,"December 17, 2015"
4,Very strong typhoon,Very strong typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,175 km/h (110 mph)
7,Lowest pressure,935 hPa (mbar); 27.61 inHg
8,Category 4-equivalent typhoon,Category 4-equivalent typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,230 km/h (145 mph)
11,Lowest pressure,929 hPa (mbar); 27.43 inHg
12,Overall effects,Overall effects
13,Fatalities,51 total
14,Damage,$148 million (2015 USD)
15,Areas affected,"Caroline Islands, Philippines"
16,IBTrACS,IBTrACS
17,Part of the 2015 Pacific typhoon season,Part of the 2015 Pacific typhoon season
