,sentences
0,"Typhoon Morakot, known in the Philippines as Typhoon Kiko, was the wettest and deadliest typhoon to impact Taiwan in recorded history."
1,"The eighth named storm and fourth typhoon of the 2009 Pacific typhoon season, Morakot wrought catastrophic damage in Taiwan, killing 673 people and leaving 26 people missing, and causing roughly NT$110 billion(US$3.3 billion) in damages."
2,Morakot originated as a tropical depression in the West Pacific on August 2.
3,"The system initially moved northeastward, before taking a westward track, developing into a tropical storm on August 3, with the JMA giving it the name Morakot."
4,"The storm gradually strengthened as it moved towards Taiwan, intensifying into a Category 1-equivalent typhoon on August 5."
5,"Morakot reached its peak intensity on August 7, with a minimum central pressure of 945 millibars(27.9 inHg), maximum 10-minute sustained winds of 140 km/h(85 mph), and maximum 1-minute sustained winds of 150 km/h(90 mph)."
6,"Afterward, Morakot's forward motion slowed and the system gradually weakened, making landfall on central Taiwan later that day as a severe tropical storm."
7,"Over the next day, Morakot slowly meandered over Taiwan, before emerging into the Taiwan Strait and turning northward, making landfall on Mainland China on August 9."
8,"Afterward, Morakot accelerated northward while gradually weakening, before later turning northeastward."
9,"On August 11, Morakot degenerated into a remnant low in the East China Sea, before dissipating on August 13, over northern Japan."
10,"The storm produced copious amounts of rainfall, peaking at 2,777 mm(109.3 in), far surpassing the previous record of 1,736 mm(68.35 in) set by Typhoon Herb in 1996."
11,The extreme amount of rain triggered enormous mudflows and severe flooding throughout southern Taiwan.
12,"One landslide(and subsequent flood) destroyed the entire town of Siaolin, killing over 400 people."
13,"The slow-moving storm also caused widespread damage in China, leaving eight people dead and causing $1.4 billion(2009 USD) in damages."
14,"Nearly 2,000 homes were destroyed in the country and 136,000 more were reported to have sustained damage."
15,"In the wake of the storm, Taiwan's government faced extreme criticism for the slow response to the disaster and for initially deploying only roughly 2,100 soldiers to the affected regions."
16,"Later, the number of soldiers working to recover trapped residents increased to 46,000."
17,Rescue crews were able to retrieve thousands of trapped residents from buried villages and isolated towns across the island.
18,"Days later, Taiwan's president Ma Ying-jeou apologized for the government's slow response publicly."
