index,Precipitation,Precipitation,Precipitation,Storm,Location,Ref.
,Rank,mm,in,Storm,Location,Ref.
0,1,3060,120.47,Morakot 2009,"Alishan, Chiayi",[73]
1,2,2319,91.3,Nari 2001,"Wulai, New Taipei",[74]
2,3,2162,85.12,Flossie 1969,"Beitou, Taipei",[73]
3,4,1987,78.23,Herb 1996,"Alishan, Chiayi",[75]
4,5,1933,76.1,Gaemi 2024,"Maolin, Kaoshiung",[76]
5,6,1774,69.84,Saola 2012,Yilan City,[77]
6,7,1725,67.91,Krathon 2024,"Beinan, Taitung",[78]
7,8,1700,66.93,Lynn 1987,Taipei,[79]
8,9,1672,65.83,Clara 1967,"Dongshan, Yilan",[80]
9,10,1611,63.43,Sinlaku 2008,"Heping, Taichung",[81]
