index,sentences
0,"Typhoon Nabi(pronounced [na.bi]), known in the Philippines as Super Typhoon Jolina, was a powerful typhoon that struck southwestern Japan in early September 2005."
1,"The 14th named storm of the 2005 Pacific typhoon season, Nabi formed on August 29 to the east of the Northern Mariana Islands."
2,It moved westward and passed about 55 km(34 mi) north of Saipan on August 31 as an intensifying typhoon.
3,"On the next day, the Joint Typhoon Warning Center upgraded the storm to super typhoon status, with winds equivalent to that of a Category 5 hurricane on the Saffir–Simpson Hurricane Scale."
4,The Japan Meteorological Agency estimated peak ten-minute winds of 175 km/h(109 mph) on September 2.
5,"Nabi weakened while curving to the north, striking the Japanese island of Kyushu on September 6."
6,"After brushing South Korea, the storm turned to the northeast, passing over Hokkaido before becoming extratropical on September 8, before dissipating on September 12."
7,"The typhoon first affected the Northern Mariana Islands, where it left US$2.5 million in damage, while damaging or destroying 114 homes."
8,The damage was enough to warrant a disaster declaration from the United States government.
9,"While passing near Okinawa, Nabi produced gusty winds and caused minor damage."
10,"Later, the western fringe of the storm caused several traffic accidents in Busan, South Korea, and throughout the country Nabi killed six people and caused US$115.4 million in damage."
11,"About 250,000 people evacuated along the Japanese island of Kyushu ahead of the storm, and there were disruptions to train, ferry, and airline services."
12,"In Kyushu, the storm left ¥4.08 billion(US$36.9 million) in crop damage after dropping 1,322 mm(52.0 in) of rain over three days."
13,"During the storm's passage, there were 61 daily rainfall records broken by Nabi's precipitation."
14,"The rains caused flooding and landslides, forcing people to evacuate their homes and for businesses to close."
15,"Across Japan, Nabi killed 29 people and caused ¥94.9 billion(US$854 million) in damage."
16,"Soldiers, local governments, and insurance companies helped residents recover from the storm damage."
17,"After affecting Japan, the typhoon affected the Kuril Islands of Russia, where it dropped the equivalent of the monthly precipitation, while also causing road damage due to high waves."
18,"Overall, Nabi killed 35 people."
19,"-Meteorological history-
On August 28, a large area of convection persisted about 1,035 km(643 mi) east of Guam."
20,"Located within an area of moderate wind shear, the system quickly organized while moving westward, its track influenced by a ridge to the north."
21,"At 00:00 UTC on August 29, a tropical depression formed from the system, classified by the Joint Typhoon Warning Center(JTWC) as Tropical Depression 14W. In initial forecasts, the agency anticipated steady strengthening, due to warm sea surface temperatures in the area."
22,"At 12:00 UTC on August 29, the Japan Meteorological Agency(JMA) upgraded it to a tropical storm."
23,"As such, the JMA named the storm Nabi."
24,"About 12 hours later, the JMA upgraded Nabi further to a severe tropical storm, after the convection organized into spiral rainbands."
25,"At 18:00 UTC, Nabi intensified to typhoon status, reaching ten-minute sustained winds of 120 km/h(75 mph)."
26,"On August 31, Nabi passed about 55 km(34 mi) north-northeast of Saipan in the Northern Mariana Islands during its closest approach."
27,The typhoon continued to intensify quickly as it moved to the west-northwest.
28,"On September 1, the JTWC upgraded the storm to a super typhoon and later estimated peak one-minute winds of 260 km/h(160 mph); this is the equivalent of a Category 5 on the Saffir–Simpson scale."
29,"By contrast, the JMA estimated peak ten-minute winds of 175 km/h(109 mph) on September 2, with a barometric pressure of 925 mbar(27.3 inHg)."
30,"While at peak intensity, the typhoon developed a large 95 km(59 mi) wide eye."
31,"For about 36 hours, Nabi maintained its peak winds, during which it crossed into the area of responsibility of PAGASA; the Philippine-based agency gave it the local name ""Jolina"", although the storm remained away from the country."
32,"On September 3, Nabi began weakening as it turned more to the north, the result of an approaching trough weakening the ridge."
33,"Later that day, the winds leveled off at 155 km/h(96 mph), according to the JMA."
34,"On September 5, Nabi passed near Kitadaitōjima and Yakushima, part of the Daitō and Ōsumi island groups offshore southern Japan."
35,"Around that time, the JTWC estimated that the typhoon reintensified slightly to a secondary peak of 215 km/h(134 mph)."
36,"After turning due north, Nabi made landfall near Isahaya, Nagasaki around 05:00 UTC on September 6, after passing through the Amakusa of Kumamoto."
37,"Shortly thereafter, the storm entered the Sea of Japan."
38,"The typhoon turned to the northeast into the mid-latitude flow, influenced by a low over the Kamchatka Peninsula."
39,"At 18:00 UTC on September 6, the JTWC discontinued advisories on Nabi, declaring it extratropical, although the JMA continued tracking the storm."
40,"On the next day, Nabi moved across northern Hokkaido into the Sea of Okhotsk."
41,"The JMA declared the storm as extratropical on September 8, which continued eastward until the JMA ceased monitoring the storm's remnants on September 10, while situated south of the Aleutian Islands."
42,"The remnants of Nabi weakened and later moved into southwestern Alaska on September 12, dissipating soon afterward."
43,"-Preparations-
After Nabi formed as a tropical depression on August 29, the local National Weather Service office on Guam issued a tropical storm watch for the islands Tinian, Rota, Sapian, and Agrihan."
44,"On August 30, the watch was upgraded to a tropical storm warning for Rota and Agrihan, while a typhoon warning was issued for Tinian and Saipan."
45,"On all four islands, a Condition of Readiness 1 was declared."
46,"The government of the Northern Mariana Islands advised Tinian and Saipan residents along the coast and in poorly built buildings to evacuate, and several schools operated as shelters."
47,"About 700 people evacuated on Saipan, and the airport was closed, stranding about 1,000 travelers."
48,"As a precaution, schools were closed on Guam on August 31, after a tropical storm warning was issued for the island the night prior."
49,"The island's governor, Felix Perez Camacho, also declared a condition of readiness 2, as well as a state of emergency."
50,"Due to the typhoon, several flights were canceled or delayed at Antonio B. Won Pat International Airport on Guam."
51,"Ahead of the storm, United States Forces Japan evacuated planes from Okinawa to either Guam or mainland Japan to prevent damage."
52,Officials at the military bases on Okinawa advised residents to remain inside during the storm's passage.
53,"While Nabi was turning to the north, the island was placed under a Condition of Readiness 2."
54,"At the military base in Sasebo, ships also evacuated, and several buildings were closed after a Condition of Readiness 1 was declared."
55,"In Kyushu, officials evacuated over a quarter of a million people in fear of Typhoon Nabi affecting Japan."
56,These continued after the storm made landfall to protect residents from flood waters and landslides.
57,The first order during the storm took place in the Arita district.
58,"In Miyazaki City, 21,483 households were evacuated following reports of significant overflow on the nearby river."
59,"Another 10,000 residences were vacated in Nobeoka following similar reports."
60,The entirety of the West Japan Railway Company was shut down.
61,"Canceled train services affected 77,800 people on Shikoku."
62,"Ferry service was also shut down, cutting off transportation for tens of thousands of people."
63,"In addition, at least 723 flights were cancelled because of the storm."
64,"Japan's second-largest refinery, Idemitsu Kosan, stopped shipments to other refineries across the area, and Japan's largest refinery, Nippon Oil, stopped all sea shipments."
65,"The Cosmo Oil Company, Japan's fourth largest refinery, stopped all shipments to Yokkaichi and Sakaide refineries."
66,About 700 schools in the country were closed.
67,"Approximately 1,500 soldiers were dispatched to Tokyo to help coastal areas prepare for Typhoon Nabi's arrival, and to clean up after the storm."
68,Officials in the Miyazaki Prefecture issued a flood warning for expected heavy rains in the area.
69,"In South Korea, the government issued a typhoon warning for the southern portion of the country along the coast, prompting the airport at Pohang to close, and forcing 162 flights to be canceled."
70,"Ferry service was also disrupted, and thousands of boats returned to port."
71,The storm also prompted 138 schools to close in the region.
72,"Earlier, the storm spurred fears of a possible repeat of either typhoon Rusa in 2002 or Maemi in 2003, both of which were devastating storms in South Korea."
73,"Officials in the Russian Far East issued a storm warning for Vladivostok, advising boats to remain at port."
74,"-Impact-
While passing between Saipan and the volcanic island of Anatahan, Nabi brought tropical storm force winds to several islands in the Northern Mariana Islands."
75,"Saipan International Airport reported sustained winds of 95 km/h(59 mph), with gusts to 120 km/h(75 mph)."
76,"Also on the island, Nabi produced 173 mm(6.8 in) of rainfall."
77,"The storm destroyed two houses and left 26 others uninhabitable, while 77 homes sustained minor damage, largely from flooding or roof damage."
78,"Nabi damaged 70–80% of the crops on Saipan and also knocked down many trees, leaving behind 544 tonnes(600 tons) of debris."
79,"The entire island was left without power, some without water, after the storm."
80,"On Tinian to the south, Nabi damaged or destroyed nine homes, with heavy crop damage."
81,"On Rota, there was minor flooding and scattered power outages."
82,"Farther south, the outer reaches of the storm produced sustained winds of 69 km/h(43 mph) at Apra Harbor on Guam, while gusts peaked at 101 km/h(63 mph) at Mangilao."
83,"Gusts reached 72 km/h(45 mph) at the international airport on Guam, the highest during 2005."
84,The storm dropped 115 mm(4.5 in) of rainfall in 24 hours on the island.
85,"Flooding covered roads for several hours and entered classrooms at Untalan Middle School, forcing hundreds of students to evacuate."
86,Damage in the region was estimated US$2.5 million.
87,"After Nabi exited the region, it produced high surf for several days on Guam and Saipan."
88,"Later in its duration, Nabi brushed southeastern South Korea with rainbands."
89,"Ulsan recorded a 24‑hour rainfall total of 319 mm(12.6 in), while Pohang recorded a record 24‑hour total of 540.5 mm(21.28 in)."
90,The highest total was 622.5 mm(24.51 in) of rainfall.
91,"The periphery of the storm produced gusts of 121 km/h(75 mph) in the port city of Busan, strong enough to damage eight billboards and knock trees over."
92,"Heavy rains caused several traffic accidents and injuries in Busan, while strong waves washed a cargo ship ashore in Pohang."
93,"Throughout South Korea, the storm led to six fatalities and caused US$115.4 million in damages."
94,"In the Kuril Islands of Russia, Nabi dropped about 75 mm(3.0 in) of rain, equivalent to the monthly average."
95,"Gusts reached 83 km/h(52 mph), weak enough not to cause major damage."
96,"During the storm's passage, high waves washed away unpaved roads in Severo-Kurilsk."
97,"--Japan--
The outer rainbands of Nabi began affecting Okinawa on September 3."
98,"The storm's strongest winds ended up bypassing the island, and wind gusts peaked at 85 km/h(53 mph)."
99,Two elderly women were injured from the wind gusts.
100,There were minor power outages and some houses were damaged.
101,"In the Amami Islands between Okinawa and mainland Japan, Nabi produced gusts of 122 km/h(76 mph) in Kikaijima."
102,Waves of 9 m(30 ft) in height affected Amami Ōshima.
103,"While moving through western Japan, Nabi dropped heavy rainfall that totaled 1,322 mm(52.0 in) over a three-day period in Miyazaki Prefecture, the equivalent to nearly three times the average annual precipitation."
104,"The same station in Miyazaki reported a 24‑hour rainfall total of 932 mm(36.7 in), as well as an hourly total of 66 mm(2.6 in)."
105,"Within the main islands of Japan, Nabi dropped 228.6 mm(9.00 in) of rainfall per hour in the capital Tokyo."
106,"During the storm's passage, there were 61 daily rainfall records broken by Nabi's precipitation across Japan."
107,The rains from Nabi caused significant slope failures and large accumulations of driftwood.
108,"The amount of sediment displaced by the rains was estimated at 4,456 m3/km2, over four times the yearly average."
109,"A total of 630 m3(22,000 cu ft) of driftwood was recorded."
110,"However, the rainfall also helped to end water restrictions in Kagawa and Tokushima prefectures."
111,"In addition to the heavy rainfall, Nabi produced gusty winds on the Japan mainland, peaking at 115 km/h(71 mph) in Muroto."
112,A station on Tobishima in the Sea of Japan recorded a gust of 119 km/h(74 mph).
