index,Precipitation,Precipitation,Precipitation,Storm,Location,Ref.
,Rank,mm,in,Storm,Location,Ref.
0,1,2781.0,109.50,Fran 1976,Hiso,[41]
1,2,>2000.0,>78.74,Namtheun 2004,Kisawa,[42]
2,3,1805.5,71.08,Talas 2011,Kamikitayama,[43]
3,4,1518.9,59.80,Olive 1971,Ebino,[44]
4,5,1322.0,52.04,Nabi 2005,Mikado,[45]
5,6,1286.0,50.62,Kent 1992,Hidegadake,[46]
6,7,1167.0,45.94,Judy 1989,Hidegadake,[47]
7,8,1138.0,44.80,Abby 1983,Amagisan,[48]
8,9,1124.0,44.25,Flo 1990,Yanase,[49]
9,10,~1092.0,~43.00,Trix 1971,Yangitake,[50]
