index,sentences
0,"Typhoon Nari(pronounced [na.ɾi]), known in the Philippines as Typhoon Santi, was a strong and deadly tropical cyclone that first struck Luzon before striking Indochina in mid October 2013."
1,The storm was the 41st depression and the 8th typhoon in the 2013 typhoon season.
2,Typhoon Nari was a deadly typhoon that made landfall in the Philippines and Vietnam.
3,"Nari made landfall on October 14, 2013 as a moderate category 1 typhoon."
4,"-Meteorological history-
On October 8, 2013 the Japan Meteorological Agency(JMA) started to monitor a tropical depression, that developed within an area of low to moderate vertical windshear, about 1,150 km(715 mi) to the east of Manila on the Philippine island of Luzon."
5,"The system was subsequently named Santi by the Philippine Atmospheric, Geophysical and Astronomical Services Administration(PAGASA) as it moved along the southern edge of a subtropical ridge of high pressure."
6,Later that day the United States Joint Typhoon Warning Center(JTWC) initiated advisories on the system and designated it as Tropical Depression 24W after the systems low level circulation center had started to consolidate.
7,"During the next day after central convection over the systems low level circulation centre had increased both the JMA and the JTWC reported that the depression had developed into a tropical storm, with the latter naming it as Nari."
8,"Nari ensued a period of rapid intensification in the Philippine Sea, with the Japan Meteorological Agency and PAGASA upgrading the system into a typhoon."
9,"Nari became a Category 3 major typhoon as it smashed ashore into Dingalan, Aurora."
10,Power outages affected much of Central Luzon as the typhoon crossed the region.
11,Five people were killed by falling trees and landslides from Nari as it weakened to a Category 2 typhoon on October 12.
12,"With land interaction, Nari weakened to a Severe Tropical Storm during October 13."
13,"Late on October 14, the system affected Vietnam and made landfall later that day."
14,"Due to land interaction, Nari weakened to an remnant low."
15,"Early on October 16, both the JMA and JTWC issued their final warnings on Nari, as the system dissipated."
16,"Within the Philippines a total of 15 people were left dead while 5 were missing, while total economic losses were amounted to be Php 12.3 billion(US$277.34 million)."
17,"-Preparations and impact-
--Philippines--
During October 9, PAGASA issued the public storm warning signal number 1 for the island province of Catanduanes, before expanding the areas under Signal 1 early the next day to include Aurora, Camarines Norte, Camarines Sur, Isabela, the Polillo Islands and Quezon."
18,"Later that day after the system had intensified into a typhoon and accelerated slightly towards the Philippines slightly, PAGASA placed 17 areas in Luzon under Signal 1, 14 areas under Signal 2 and Aurora Province under Signal 3."
19,"During October 11, the areas under signal 3 were expanded to include Benguet, Ifugao, Ilocos Sur, Isabela, La Union, Pangasinan, Polillo Island, Quirino, Nueva Ecija and Tarlac."
20,"Over the next day, the warnings were gradually revised before they were all subsequently cancelled during October 12, as the system moved out of the Philippine Area of Responsibility and was moving towards Vietnam."
21,"Within the Philippines a total of 15 people were left dead while 5 were missing, while total economic losses were amounted to be PHP3.3 billion(US$77 million)."
22,"--Vietnam--
In advance of the typhoon, more than 122,000 residents were evacuated from vulnerable provinces to higher grounds."
23,"In Danang, soldiers were sent to help people readily secure their homes against the expected winds and guide ships to shelter."
24,Thousands of travelers were left stranded as Vietnam Airlines cancelled over a dozen flights.
25,"In total Nari caused 26 deaths and economic losses of 4,315 billion VND(US$204.5 million, 2013)."
26,"--Laos--
On October 16, poor weather from the remnants of Typhoon Nari has been cited as a probable cause for the crash of Lao Airlines Flight 301, on approach to Pakse International Airport with the loss of all 49 passengers and crew."
27,Another 4 people were killed directly due to the storm.
28,"--China--
Total damages in China were counted to be CN¥50 million(US$8.19 million)."
29,"-Retirement-
PAGASA announced that the name Santi would be retired from its naming lists after it had caused over ₱1 billion in damages."
30,PAGASA chose the name Salome to replace Santi for the 2017 season.
