index,0,1
0,Typhoon Nari making landfall over the Philippines at peak intensity on October 11,Typhoon Nari making landfall over the Philippines at peak intensity on October 11
1,Meteorological history,Meteorological history
2,Formed,"October 8, 2013"
3,Dissipated,"October 16, 2013"
4,Typhoon,Typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,140 km/h (85 mph)
7,Lowest pressure,965 hPa (mbar); 28.50 inHg
8,Category 3-equivalent typhoon,Category 3-equivalent typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,185 km/h (115 mph)
11,Lowest pressure,948 hPa (mbar); 27.99 inHg
12,Overall effects,Overall effects
13,Fatalities,94 total
14,Damage,$289.6 million (2013 USD)
15,Areas affected,"Philippines, Vietnam, Laos, Thailand, Cambodia"
16,IBTrACS,IBTrACS
17,Part of the 2013 Pacific typhoon season,Part of the 2013 Pacific typhoon season
