,0,1
0,Typhoon Neoguri shortly after peak intensity on July 7,Typhoon Neoguri shortly after peak intensity on July 7
1,Meteorological history,Meteorological history
2,Formed,"July 2, 2014"
3,Extratropical,"July 11, 2014"
4,Dissipated,"July 13, 2014"
5,Very strong typhoon,Very strong typhoon
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,185 km/h (115 mph)
8,Lowest pressure,930 hPa (mbar); 27.46 inHg
9,Category 5-equivalent super typhoon,Category 5-equivalent super typhoon
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,260 km/h (160 mph)
12,Lowest pressure,918 hPa (mbar); 27.11 inHg
13,Overall effects,Overall effects
14,Fatalities,3 confirmed
15,Damage,$604 million (2014 USD)
16,Areas affected,"Caroline Islands, Guam, Japan, South Korea"
17,IBTrACS,IBTrACS
18,Part of the 2014 Pacific typhoon season,Part of the 2014 Pacific typhoon season
