index,0,1
0,Typhoon Nida at peak intensity on May 16,Typhoon Nida at peak intensity on May 16
1,Meteorological history,Meteorological history
2,Formed,"May 13, 2004"
3,Extratropical,"May 21, 2004"
4,Dissipated,"May 22, 2004"
5,Very strong typhoon,Very strong typhoon
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,175 km/h (110 mph)
8,Lowest pressure,935 hPa (mbar); 27.61 inHg
9,Category 5-equivalent super typhoon,Category 5-equivalent super typhoon
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,260 km/h (160 mph)
12,Lowest pressure,898 hPa (mbar); 26.52 inHg
13,Overall effects,Overall effects
14,Fatalities,31 direct
15,Damage,$1.3 million (2004 USD)
16,Areas affected,Philippines and Japan
17,IBTrACS,IBTrACS
18,Part of the 2004 Pacific typhoon season,Part of the 2004 Pacific typhoon season
