index,0,1
0,Nock-ten approaching the Philippines at peak intensity on Christmas Day,Nock-ten approaching the Philippines at peak intensity on Christmas Day
1,Meteorological history,Meteorological history
2,Formed,"December 20, 2016"
3,Dissipated,"December 28, 2016"
4,Violent typhoon,Violent typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,195 km/h (120 mph)
7,Lowest pressure,915 hPa (mbar); 27.02 inHg
8,Category 5-equivalent super typhoon,Category 5-equivalent super typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,260 km/h (160 mph)
11,Lowest pressure,918 hPa (mbar); 27.11 inHg
12,Overall effects,Overall effects
13,Fatalities,13
14,Damage,$123 million (2016 USD)
15,Areas affected,"Caroline Islands, Philippines, Vietnam"
16,IBTrACS,IBTrACS
17,Part of the 2016 Pacific typhoon season,Part of the 2016 Pacific typhoon season
