index,0,1
0,Typhoon Nora nearing peak intensity on October 5,Typhoon Nora nearing peak intensity on October 5
1,Meteorological history,Meteorological history
2,Formed,"October 2, 1973"
3,Remnant low,"October 10, 1973"
4,Dissipated,"October 11, 1973"
5,Category 5-equivalent super typhoon,Category 5-equivalent super typhoon
6,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
7,Highest winds,295 km/h (185 mph)
8,Lowest pressure,875 hPa (mbar); 25.84 inHg (Third-lowest globally; tied as second-lowest in the West Pacific)
9,Overall effects,Overall effects
10,Fatalities,40 total
11,Missing,28
12,Damage,$2 million (1973 USD)
13,Areas affected,"Philippines, Taiwan, Eastern China, Hong Kong"
14,IBTrACS,IBTrACS
15,Part of the 1973 Pacific typhoon season,Part of the 1973 Pacific typhoon season
