,Unnamed: 0_level_0,Typhoon,Season,Pressure,Pressure
,Unnamed: 0_level_1,Typhoon,Season,hPa,inHg
0,1,Tip,1979,870,25.7
1,2,June,1975,875,25.8
2,2,Nora,1973,875,25.8
3,4,Forrest,1983,876[8],25.9
4,5,Ida,1958,877,25.9
5,6,Rita,1978,878,26.0
6,7,Kit,1966,880,26.0
7,7,Vanessa,1984,880,26.0
8,9,Nancy,1961,882,26.4
9,10,Irma,1971,884,26.1
10,11,Nina,1953,885,26.1
11,11,Joan,1959,885,26.1
12,11,Megi,2010,885,26.1
13,Source: JMA Typhoon Best Track Analysis Information for the North Western Pacific Ocean.[9],Source: JMA Typhoon Best Track Analysis Information for the North Western Pacific Ocean.[9],Source: JMA Typhoon Best Track Analysis Information for the North Western Pacific Ocean.[9],Source: JMA Typhoon Best Track Analysis Information for the North Western Pacific Ocean.[9],Source: JMA Typhoon Best Track Analysis Information for the North Western Pacific Ocean.[9]
