index,0,1
0,Typhoon Phanfone at peak strength after an eyewall replacement cycle on October 3,Typhoon Phanfone at peak strength after an eyewall replacement cycle on October 3
1,Meteorological history,Meteorological history
2,Formed,"September 28, 2014"
3,Post-tropical,"October 6, 2014"
4,Dissipated,"October 12, 2014"
5,Very strong typhoon,Very strong typhoon
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,175 km/h (110 mph)
8,Lowest pressure,935 hPa (mbar); 27.61 inHg
9,Category 4-equivalent super typhoon,Category 4-equivalent super typhoon
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,250 km/h (155 mph)
12,Lowest pressure,922 hPa (mbar); 27.23 inHg
13,Overall effects,Overall effects
14,Fatalities,11 total
15,Damage,$100 million (2014 USD)
16,Areas affected,"Mariana Islands, Japan, Alaska"
17,IBTrACS,IBTrACS
18,Part of the 2014 Pacific typhoon season,Part of the 2014 Pacific typhoon season
