index,0,1
0,Phanfone passing through the Philippines on Christmas Day,Phanfone passing through the Philippines on Christmas Day
1,Meteorological history,Meteorological history
2,Formed,"December 19, 2019"
3,Dissipated,"December 29, 2019"
4,Typhoon,Typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,150 km/h (90 mph)
7,Lowest pressure,970 hPa (mbar); 28.64 inHg
8,Category 3-equivalent typhoon,Category 3-equivalent typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,195 km/h (120 mph)
11,Lowest pressure,958 hPa (mbar); 28.29 inHg
12,Overall effects,Overall effects
13,Fatalities,50 total
14,Missing,55
15,Damage,$67.2 million (2019 USD)
16,Areas affected,"Caroline Islands, Philippines"
17,IBTrACS,IBTrACS
18,Part of the 2019 Pacific typhoon season,Part of the 2019 Pacific typhoon season
