,sentences
0,"Typhoon Skip, known in the Philippines as Typhoon Yoning, was the final of three tropical cyclones in 1988 to directly impact the Philippines in a two-week time frame."
1,Several areas of disturbed weather developed within the monsoon trough around November 1.
2,"One area situated to the south of Guam gradually became better organized, and by late November 3, the system was upgraded into a tropical depression, and a tropical storm later that day."
3,Steady deepening ensued as Skip veered west and the cyclone was upgraded into a typhoon on November 5.
4,"The next day, Skip attained its maximum intensity of 145 km/h(90 mph)."
5,"Shortly after its peak, weakening ensued as the storm tracked across the Philippines."
6,"This trend continued once the cyclone entered the South China Sea, initially as a severe tropical storm late on November 7."
7,"Slowing down in forward motion, Skip briefly turned west-northwest, then west and finally turned west-southwest before dissipating on November 12."
8,Typhoon Skip brought widespread impact to much of the already battered country.
9,"On Cebu island, almost 20,000 people were trapped in floodwaters."
10,"Along the slope of the Mayon Volcano, 2,600 people had to be evacuated due to a landslide."
11,"On the remote island of Palawan, 74 people were killed."
12,"Elsewhere, most towns in the Capiz province on Panay Island were flooded."
13,Two people were killed and more than 700 people were evacuated from the Aklan province.
14,"In the Iloilo province, on the eastern portion of Panay Island, almost 40 villages were under water and nearby roads were impassable."
15,"Seventeen homes were demolished, and two people were confirmed to have been killed because of a landslide in Pasacao in the province of Camarines Sur."
16,"Throughout the city, ten people perished."
17,"Throughout the province, up to 27 people died and at least 20 others were hurt."
18,"In the suburbs of Manila, thirteen people drowned, all in three suburbs, but city proper itself avoided the worst impact from Skip."
19,"Overall, 237 people were killed as a result of the typhoon while 35 other people were injured."
20,"Throughout the country, damaged totaled $131.8 million(1988 USD)."
21,"-Meteorological history-
The first of two tropical cyclones to form in the basin during November 1988, Typhoon Skip originated from the winter-time monsoon trough dominated by easterly trade winds, a common signal of a La Nina event."
22,Several areas of low pressure developed along the axis of the monsoonal trough.
23,"On November 1, an area of disturbed weather was noted near the Philippines; however, this would spawn Tropical Storm Tess instead."
24,"The next day, a second area of convection was noticed on weather satellite around 670 km(415 mi) southwest of Guam."
25,"At 00:00 UTC on November 3, the Japan Meteorological Agency(JMA) started tracking the system."
26,"Several hours later, the Joint Typhoon Warning Center(JTWC) followed suit."
27,Satellite pictures at the time showed a well-defined center of circulation at the lower levels of the atmosphere and distinct curved banding features.
28,"Based on satellite images, intensity estimates of 55 km/h(35 mph), the JTWC issued a Tropical Cyclone Formation Alert(TCFA) at 07:00 UTC."
29,"Four hours later, the TCFA was re-issued."
30,"That evening, following an increase in satellite intensity estimates, both the JMA and JTWC upgraded the system into a tropical storm, the latter of which named it Skip."
31,"Skip, while taking the course of a typical ""straight runner"", the storm made its closest approach to Yap, passing around 100 km(60 mi) to the south."
32,Tropical Storm Skip steadily intensified over a period of several days.
33,"Early November 4, the JMA upgraded Skip into a severe tropical storm."
34,"Six hours later, the JTWC estimated that Skip attained typhoon intensity, and the following morning, the JMA followed suit."
35,"At noon on November 5, the JTWC reported that Skip attained winds of 185 km/h(115 mph), equivalent to a low-end Category 3 hurricane on the United States Saffir-Simpson Hurricane Wind Scale(SSHWS)."
36,"The same day, the Philippine Atmospheric, Geophysical and Astronomical Services Administration(PAGASA) also started to follow the storm and assigned it with the local name Yoning."
37,"Continuing westward, the JTWC suggested that the typhoon attained winds equal to a Category 4 hurricane on the SSHWS at 00:00 UTC on November 6."
38,"At 06:00 UTC, the JTWC increased the intensity of Skip to 230 km/h(145 mph), just shy of super typhoon intensity."
39,"Six hours later, the JMA reported that Skip reached its peak intensity, with winds of 145 km/h(90 mph) and a barometric pressure of 950 mbar(28 inHg)."
40,"Early on November 7, Skip made landfall over Samar in the eastern Philippines."
41,"During the evening of November 7, Skip emerged into the South China Sea as a typhoon and severe tropical storm, according to both the JTWC and JMA respectively."
42,"Following a decrease in forward speed, Skip moved west-northwest to the south of a subtropical ridge for the next four days."
43,"By early November 10, the JTWC assessed the intensity at 155 km/h(95 mph) while the JMA reported winds of 95 km/h(60 mph)."
44,"Rapid weakening then began; however, and the JTWC downgraded Skip to a tropical storm later that day."
45,"After Skip turned towards the southwest, the JTWC stopped tracking the system early on November 11."
46,"After turning west on November 11, and then finally moved to the northwest, Skip dissipated while the center was still offshore, about 220 km(140 mi) east-southeast of Danang on November 12."
47,The remnants of Typhoon Skip continued the linger over the Gulf of Tonkin before fully dissipating.
48,"-Preparations-
On November 6, storm warnings were posted in Samar, Leyte, and much of the Visayas chain, as well as, for the Bicol Peninsula on Luzon, which was just reeling from the effects of Typhoon Ruby and Tropical Storm Tess, in preparation for the typhoon."
49,"The next day, this alert was expanded into the northeastern provinces of Mindanao Island."
50,"Simultaneously, a lower level alert was issued for half of Luzon, including the capital of Manila."
51,Small crafts were ordered to stay at port.
52,Philippine Airlines canceled 75 domestic flights as the storm approached.
53,"The Philippine Coast Guard(PCG) suspended all passenger ship service to ports in the Visayas Islands on November 6, stranding thousands of passengers in Manila and other major ports throughout the nation."
54,Select Military Airlift Command flights to Japan and the United States left early to avoid the core of the typhoon.
55,The city of Manila ordered all schools to close for a day.
56,"-Impact and aftermath-
Across the Leyte island, the storm knocked nearly 200,000 people without power and caused $400,000(1988 USD) in damages."
57,"On Cebu island, in San Jose, 80% of the city was under water at the height of the storm."
58,One person was killed in Cebu City.
59,"Island-wide, almost 20,000 people were trapped in floodwaters."
60,"Along the slope of the Mayon Volcano, landslides triggered by heavy rains forced 2,600 people to be evacuated from the slopes of the volcano."
61,All roads were impassible and thirty-nine people were killed in Tablas Island.
62,"Elsewhere, three people drowned on Marinduque island."
