,0,1
0,Typhoon Skip at peak intensity on November 6,Typhoon Skip at peak intensity on November 6
1,Meteorological history,Meteorological history
2,Formed,"November 3, 1988"
3,Dissipated,"November 12, 1988"
4,Typhoon,Typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,150 km/h (90 mph)
7,Lowest pressure,950 hPa (mbar); 28.05 inHg
8,Category 4-equivalent typhoon,Category 4-equivalent typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,230 km/h (145 mph)
11,Overall effects,Overall effects
12,Fatalities,237 total
13,Damage,$132 million
14,Areas affected,Philippines
15,Part of the 1988 Pacific typhoon season,Part of the 1988 Pacific typhoon season
