,sentences
0,"Typhoon Soudelor, known in the Philippines as Super Typhoon Hanna, was the third most intense tropical cyclone worldwide in 2015 after Hurricane Patricia and Cyclone Pam as well as the strongest tropical cyclone of the 2015 Pacific typhoon season."
1,"Soudelor had severe impacts in the Northern Mariana Islands, Taiwan, and eastern China, resulting in 40 confirmed fatalities."
2,"Lesser effects were felt in Japan, South Korea and the Philippines."
3,"The thirteenth named storm of the annual typhoon season, Soudelor formed as a tropical depression near Pohnpei on July 29."
4,The system strengthened slowly at first before entering a period of rapid intensification on August 2.
5,"Soudelor made landfall on Saipan later that day, causing extensive damage."
6,"Owing to favorable environmental conditions, the typhoon further deepened and reached its peak intensity with ten-minute maximum sustained winds of 215 km/h(130 mph) and a central atmospheric pressure of 900 hPa(mbar; 26.58 inHg) on August 3."
7,"The Joint Typhoon Warning Center assessed one-minute sustained winds at 285 km/h(180 mph), making Soudelor a Category 5-equivalent super typhoon."
8,Steady weakening ensued thereafter as the storm moved generally west-northwest.
9,"Soudelor made landfall over Hualien, Taiwan, late on August 7 and emerged over in the Taiwan Strait early the next day."
10,The typhoon soon moved inland over eastern China and degraded to a tropical depression by August 9.
11,Soudelor was the second worst storm to strike Saipan in the Northern Mariana Islands in nearly 30 years(following Typhoon Yutu of 2018).
12,Hundreds of homes were damaged or destroyed and power was expected to take a month to restore.
13,Two people died in Guam due to rip currents.
14,"In Taiwan, torrential rains and destructive winds caused widespread damage and disruptions."
15,A record-breaking 4.85 million households lost power on the island.
16,At least 8 people died and 420 others sustained injury there; a ninth person died in the storm's aftermath.
17,"Portions of eastern China saw their heaviest rains in 100 years, resulting in deadly floods and landslides."
18,Typhoon Soudelor killed 45 people in eastern China after parts of the country were hit by the heaviest rains in a century.
19,Total economic losses were counted to be ¥24.627 billion(US$3.97 billion).
20,"-Meteorological history-
On July 28, 2015, the Joint Typhoon Warning Center(JTWC) began monitoring a tropical disturbance about 415 km(258 mi) north of Kwajalein Atoll in the Marshall Islands."
21,The system featured a developing low level circulation accompanied by deep convection.
22,"Moving generally west under the influence of a subtropical ridge, the disturbance gradually organized amid favorable environmental conditions."
23,"A tropical upper tropospheric trough(TUTT) cell enhanced upper-level outflow, offsetting the negative effects of moderate wind shear; high sea surface temperatures and ocean heat content provided ample energy for further development."
24,"At 14:30 UTC on July 29, the JTWC issued a Tropical Cyclone Formation Alert for the system."
25,"Several hours later, the Japan Meteorological Agency(JMA) began monitoring the system as a weak tropical depression; the agency began full advisories on the system at 00:00 UTC on July 30."
26,"The JTWC followed suit later that day, designating the system as Tropical Depression 13W. The cyclone achieved tropical storm intensity by 12:00 UTC, at which time it was assigned the name Soudelor, a title of legendary rulers in the Pohnpeian language."
27,A central dense overcast developed over the circulation center shortly thereafter.
28,Some structural degradation took place on July 31 owing to subsidence from a TUTT cell to the north.
29,"Following a retreat of the TUTT cell northward, Soudelor's convective structure improved with well-defined banding features wrapping into the circulation by August 1."
30,"The organizing storm, with a redeveloped central dense overcast, soon entered a region favoring rapid intensification, including low wind shear, sea surface temperatures of 31–32 °C(88–90 °F) and high ocean heat content."
31,"Therefore, the JMA upgraded Soudelor to a severe tropical storm by 18:00 UTC."
32,Rapid intensification ensued on August 2 as the storm approached the Northern Mariana Islands with both agencies classifying Soudelor as a typhoon.
33,"The typhoon developed an unusually small eye only 8 km(5.0 mi) in diameter, among the smallest ever observed in a tropical cyclone."
34,"At 14:54 UTC, Soudelor made landfall along the southern coast of Saipan."
35,"After undergoing an eyewall replacement cycle, Soudelor continued rapid intensification, reaching peak intensity on August 3."
36,"The JMA estimated peak ten-minute maximum sustained winds of 215 km/h(134 mph) and a minimum central pressure of 900 hPa(27 inHg), while the JTWC estimated peak one-minute maximum sustained winds of 285 km/h(177 mph), classifying Soudelor as a Category 5-equivalent super typhoon."
37,"Intensity leveled off thereafter, and after maintaining Category 5 intensity for 24 hours, Soudelor was downgraded to a Category 4 super typhoon late on August 4."
38,"On August 5, PAGASA reported that the Typhoon Soudelor entered the Philippine Area of Responsibility assigning the name Hanna."
39,Soudelor weakened further to a Category 2-equivalent typhoon and stayed at that intensity for a day.
40,"On August 7, the typhoon reintensified to reach a secondary peak as a Category 3-equivalent typhoon, and later that day, Typhoon Soudelor made landfall over Xiulin, Hualien in Taiwan at 20:40 UTC on August 7(04:40 TST on August 8), and it arrived in the Taiwan Strait from Taixi, Yunlin around 03:00 UTC(11:00 TST) on August 8."
41,"Around 14:10 UTC(22:10 CST) on the same day, Soudelor made landfall over Xiuyu District, Putian, Fujian in China as a Category 1-equivalent typhoon."
42,"Quickly degrading, Soudelor moved erratically northwest."
43,"24 hours after landfall, Soudelor was downgraded to a depression, before becoming extratropical six hours later The remnants re-looped eastward, before briefly re-attaining gale-force winds as it moved offshore near Yancheng, Jiangsu."
44,"The remnants were last noted on August 13, affecting Kyushu and Chūgoku region."
45,"-Impact-
--Mariana Islands--
Typhoon Soudelor passed directly over Saipan on August 2 as an intensifying Category 2 equivalent storm according to the JTWC, causing widespread damage on the island."
46,Post-storm damage surveys determined Soudelor to have been substantially stronger at landfall: a Category 4-equivalent with sustained winds of 215 km/h(134 mph) with gusts in excess of 260 km/h(160 mph).
47,The National Weather Service's anemometer at Saipan International Airport broke after recording a gust of 146 km/h(91 mph).
48,"The winds downed numerous trees and power lines, leaving much of the island without power and rendering roads impassible."
49,"In some areas, cars were flipped over by the force of the wind."
50,The island's power plant lost part of its roof and was flooded.
51,"Damage to the island's electrical infrastructure was tremendous, with 150 power poles and 114 transformers damaged or destroyed."
52,A total of 464 residents sought refuge in public shelters.
53,"Acting Governor Ralph DLG Torres declared ""a state of disaster and significant emergency""."
54,Philip Dauterman of the Commonwealth Health Center in Saipan likened damage to that caused by Typhoon Pongsona which struck Guam in December 2002.
55,"In addition, John Hirsh from the American Red Cross said that Soudelor is the most damaging cyclone to hit Saipan since Typhoon Kim in 1986 struck the island nearly thirty years prior."
56,Initial assessments by the Emergency Operations Center indicate that 384 homes were destroyed.
57,A separate assessment by the American Red Cross showed 808 homes affected.
58,"Of this total, 158 were destroyed, 296 sustained major damage, and 354 were affected or sustained minor damage."
59,Total damage exceeded US$21 million(2015 USD) on Saipan.
60,Forty people were injured across the island.
61,"On August 8 and 9, two people drowned in separate rip current incidents in western Guam."
62,"The local power company, Commonwealth Utilities Corp., stated they only had 77 replacement power poles and no transformers."
63,"Repairs to the electric grid, water supply network, and wastewater systems were expected to take three to four weeks."
64,Three Mobil gas stations re-opened on August 4 for first responders and emergency services.
65,Relief supplies from Guam and Hawaii were sent to Saipan that day.
66,"Members of the Guam National Guard, Guam Power Authority, and the Coast Guard also provided assistance."
67,"On August 6, United States President Barack Obama declared the Northern Mariana Islands a federal disaster area, allowing residents to receive government aid."
68,Saipan was granted individual assistance while Tinian and Rota received public assistance.
69,"By September, the Federal Emergency Management Agency approved US$25.9 million in aid to residents of Saipan."
70,"--Japan--
Prior to striking Taiwan, the circulation of Typhoon Soudelor battered Japan's southern Ryukyu Islands with typhoon-force winds."
71,"Sustained winds on Yonaguni island reached 163 km/h(101 mph) with concurrent gusts to 233 km/h(145 mph), the strongest winds recorded in relation to the storm throughout its path."
72,Ishigaki Island saw a peak gust of 198 km/h(123 mph).
73,"Farther north at Kadena Air Base on Okinawa Island, gusts reached 84 km/h(52 mph)."
74,"Heavy rains accompanied these winds, with Yonaguni reporting 451 mm(17.74 in) during the storm's passage."
75,"Structural impact was relatively minor, mainly confined to damaged roofs on Yonaguni island."
76,Three people sustained minor injuries in the region.
77,"Losses to agriculture, forestry, and fisheries across the Yaeyama District reached ¥360 million(US$2.9 million)."
78,"A total of 6,748 hectares(16,670 acres) of crops sustained damage."
79,"In Miyako-jima, crops sustained significant damage from salt; relatively little rain coupled with strong winds allowed sea spray to travel farther inland than normal."
80,"Preliminary estimates placed losses at ¥94.52 million(US$761,000)."
81,"On August 10, a family of four was swept out to sea near Irabu-jima by residual swells from the typhoon; three drowned while the fourth, an 8-year-old girl, was rescued."
82,"--Taiwan--
On August 6, four people in Su'ao, Yilan were swept away while watching waves."
83,"One person, a child, survived; two others are confirmed dead, and the fourth is still missing."
84,"By August 10, eight fatalities had been confirmed, while four others were reported missing."
85,"Additionally, 420 people sustained injuries."
86,"All 279 domestic flights were canceled on August 8, as well as at least 37 international flights."
87,The center of the storm made landfall in eastern Taiwan at 04:40 a.m. local time on August 8.
88,"By mid-morning, Soudelor had maximum sustained winds of 173 km/h(107 mph; 93 kn), according to Taiwan's Central Weather Bureau(CWB)."
89,"Northern and mountainous areas of Taiwan saw the strongest winds, with Pengjia Islet reporting sustained winds of 150 km/h(93 mph) and a peak gust of 211 km/h(131 mph)."
90,"A gust of 230 km/h(143 mph) was reported in Su'ao; however, this value was later retracted by the CWB due to possible accuracy concerns."
91,Taoyuan International Airport in Taoyuan reported a gust of 150 km/h(93 mph).
92,These winds caused Taipei 101's tuned mass damper to sway a record 100 cm(39 in).
93,"Taiping Mountain in eastern Taiwan's Yilan County saw the heaviest rains from the typhoon, with accumulations peaking at 1,334 mm(52.52 in)."
94,"Rainfall in the Wulai District reached 722 mm(28.4 in) in 24 hours, the second-highest on record behind Typhoon Matsa in 2005."
95,Twelve-hour accumulations amounted to a record 632 mm(24.9 in).
96,"At the height of the storm, 4.85 million households lost electricity."
97,"This was the largest blackout on record in Taiwan due to a typhoon, surpassing the previous record of 2.79 million after Typhoon Herb in 1996."
98,"Water supply to 429,248 homes and land line telephone service to 64,992 homes was cut during the storm."
99,"A contaminated Nanshi River suffered a drastic overflow, and soon mixed with the primary water source of the Taipei-Keelung metropolitan area."
100,"The river's turbidity reached record levels in just two hours, catching Taipei's Water Department off-guard."
101,The excess water overwhelmed the regional purification system.
102,"As a result, the water supply to approximately 5 million households in Taipei was polluted for the next few days."
103,Agricultural damage in Taiwan exceeded NT$3.03 billion(US$94.8 million).
104,"The banana crop suffered the greatest impact, with 5,436 hectares(13,430 acres) damaged; losses from the crop reached NT$460.15 million(US$14.3 million)."
105,Six windmills of Taipower were destroyed.
106,Approximately 100 people were listed as missing after contact was lost with Xiaoyi village(Siaoyi) in Wulai District of New Taipei City during the storm on August 8.
107,"Reports from firefighters dispatched to search for residents reported that homes in the area had ""disappeared"" following a large landslide."
108,All residents were later accounted for on August 10.
109,A soldier was crushed to death while trying to clear debris on August 13.
110,"--China--
Typhoon Soudelor killed 45 people in eastern China after parts of the country were hit by the heaviest rains in a century."
111,Total economic losses were counted to be ¥24.627 billion(US$3.97 billion).
112,"Making landfall in Fujian around 10:10 p.m. local time on August 8, the storm brought damaging winds to coastal cities in the region."
113,The storm is regarded as the most severe to strike Fujian Province in a decade.
114,The strongest gust was 191 km/h(119 mph) in Putian while nearby Fuzhou saw gusts up to 134 km/h(83 mph).
115,Gusts in excess of typhoon force were almost entirely confined to Fujian.
116,Gale-force winds extended into Jiangxi and Zhejiang.
117,"Much of East China saw torrential rains from the storm, with accumulations of at least 100 mm(3.9 in) reported in several provinces."
118,Portions of Zhejiang Province saw 24‑hour rainfall totals with a return period of 100–120 years.
119,Wencheng County recorded 645 mm(25.4 in) during the same span – the heaviest in 100 years.
120,Country-wide accumulations peaked at 806 mm(31.7 in) within Wenzhou.
121,Soudelor's merger with a cold front over Anhui and Jiangsu brought torrential rains to the region from August 9–10.
122,"The heaviest rains fell in central Jiangsu Province, peaking at 467 mm(18.4 in) along the central coastline."
123,"--Elsewhere--
Typhoon Soudelor's proximity to the Philippines prompted PAGASA to issue Public Storm Warning Signal#1, the lowest on a five-tier scale, for Batanes and Cagayan provinces, including the Calayan islands, from August 6–8."
124,Signal #2 was raised for Batanes on August 7.
125,The storm's circulation enhanced the southwest monsoon and brought rains to Luzon and portions of the Western Visayas.
