,0,1
0,Utor rapidly intensifying off the Philippines on August 11,Utor rapidly intensifying off the Philippines on August 11
1,Meteorological history,Meteorological history
2,Formed,"August 8, 2013"
3,Dissipated,"August 18, 2013"
4,Violent typhoon,Violent typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,195 km/h (120 mph)
7,Lowest pressure,925 hPa (mbar); 27.32 inHg
8,Category 4-equivalent super typhoon,Category 4-equivalent super typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,240 km/h (150 mph)
11,Lowest pressure,926 hPa (mbar); 27.34 inHg
12,Overall effects,Overall effects
13,Fatalities,97
14,Damage,$3.55 billion (2013 USD)
15,Areas affected,"Philippines, Hong Kong, Macao, Guangdong, Guangxi, Jiangxi, Hunan"
16,IBTrACS,IBTrACS
17,Part of the 2013 Pacific typhoon season,Part of the 2013 Pacific typhoon season
