index,0,1
0,Xangsane at peak intensity on October 31,Xangsane at peak intensity on October 31
1,Meteorological history,Meteorological history
2,Formed,"October 24, 2000"
3,Extratropical,"November 1, 2000"
4,Dissipated,"November 2, 2000"
5,Typhoon,Typhoon
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,140 km/h (85 mph)
8,Lowest pressure,960 hPa (mbar); 28.35 inHg
9,Category 2-equivalent typhoon,Category 2-equivalent typhoon
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,165 km/h (105 mph)
12,Overall effects,Overall effects
13,Fatalities,187 total
14,Damage,$527 million (2000 USD)
15,Areas affected,"Caroline Islands, Philippines, Taiwan, Japan"
16,IBTrACS,IBTrACS
17,Part of the 2000 Pacific typhoon season,Part of the 2000 Pacific typhoon season
