UUID1,UUID2,Coverage,Weighted_Score,UUID,Main_Event,Event_Name,Hazard,Location,Deaths_Min,Deaths_Max,Injured_Max,Injured_Min,Buildings_Damaged_Min,Buildings_Damaged_Max,Affected_Min,Affected_Max,Homelessness_Min,Homelessness_Max,Displaced_Min,Displaced_Max,Damage_Min,Damage_Max,Damage_Unit,Damage_Inflation_Adjusted,Damage_Inflation_Adjusted_Year,Insured_Damage_Min,Insured_Damage_Max,Insured_Damage_Unit,Insured_Damage_Inflation_Adjusted,Insured_Damage_Inflation_Adjusted_Year,Start_Day,Start_Month,Start_Year,End_Day,End_Month,End_Year
25DZ6e3,25DZ6e3,0.0,0.07077990531500966,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9333333333333333,0.058823529411764705,0.0
27PnyH6,27PnyH6,0.0,0.017473118279569894,0,0,0.0,0.33333333333333337,0.20833333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28fDvMk,28fDvMk,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2H2nWr2,2H2nWr2,0.0,0.12877925363693865,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9333333333333333,0.058823529411764705,0.0
2TUEoDP,2TUEoDP,0.0,0.1232173427972378,0,0,0.0,1.0,0.43333333333333335,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.11627906976744186,0.07692307692307693,0.0,0.11627906976744186,0.07692307692307693,0.0
2WJcbZa,2WJcbZa,0.0,0.1193169281304589,0,0,0.0,1.0,0.0,0.3237410071942446,0.3237410071942446,0.0,0.0,2.777700619427238e-05,0.02705332288316532,0.002260738507912585,0.005607476635514018,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0
2ZCzW9u,2ZCzW9u,0.0,0.28365982613898527,0,0,0.0,1.0,0.7857142857142857,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,0.007740324594257179,1.0,1.0,1.0
2cVjRYa,2cVjRYa,0.0,0.03225806451612903,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2eJCL3F,2eJCL3F,0.0,0.2523719165085389,0,0,0.0,1.0,0.8235294117647058,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0
2qSYah3,2qSYah3,0.0,0.03225806451612903,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39MDDDu,39MDDDu,0.0,0.317741935483871,0,0,0.0,1.0,0.85,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
3EkzWqj,3EkzWqj,0.0,0.02043010752688172,0,0,0.0,0.33333333333333337,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3JHVBUn,3JHVBUn,0.0,0.10117302052785923,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0
3KQwz7b,3KQwz7b,0.0,0.0435805532579726,0,0,0.0,1.0,0.18518518518518523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.06666666666666667,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0
3gf9jGR,3gf9jGR,0.0,0.3185483870967742,0,0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
3xo5Zgb,3xo5Zgb,0.0,0.3087557603686636,0,0,0.0,1.0,0.5714285714285714,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
4tVYRtE,4tVYRtE,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56dpYaf,56dpYaf,0.0,0.03325031350580516,0,0,0.0,1.0,0.0,0.013215859030837005,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5EwPddF,5EwPddF,0.0,0.15053763440860216,0,0,0.0,1.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0
5ayt89H,5ayt89H,0.0,0.037544503182651845,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08695652173913043,0.07692307692307693,0.0
5gBU5d3,5gBU5d3,0.0,0.3181818181818182,0,0,0.0,1.0,0.8636363636363636,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
5i34hK5,5i34hK5,0.0,0.012155212716222535,0,0,0.0,0.33333333333333337,0.04347826086956519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5rLjPbN,5rLjPbN,0.0,0.24838709677419354,0,0,0.0,1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0
5y7fktD,5y7fktD,0.0,0.18914956011730205,0,0,0.0,1.0,0.8636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0
5zQCD4q,5zQCD4q,0.0,0.4592933947772657,0,0,0.0,1.0,0.23809523809523814,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0.0,0.0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0
63niAoC,63niAoC,0.0,0.16376158403808175,0,0,0.0,1.0,0.0,0.0,0.015384615384615385,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.061224489795918366,0.0,0.0,0.0,0.0,0.0
65w8WQL,65w8WQL,0.0,0.07340777502067825,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0
6Am9fVL,6Am9fVL,0.0,0.13108144597208812,0,0,0.0,1.0,0.5294117647058824,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.48148148148148145,0.0,0.0,0.05263157894736842,0.0,0.0
6Hf2ddx,6Hf2ddx,0.0,0.019077349982656956,0,0,0.0,0.33333333333333337,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6RLcWNe,6RLcWNe,0.0,0.31797235023041476,0,0,0.0,1.0,0.8571428571428572,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
6qNfRfq,6qNfRfq,0.0,0.2506203473945409,0,0,0.0,1.0,0.7692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
6r3LmSp,6r3LmSp,0.0,0.03781165071487652,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.09523809523809523,0.0,0.0,0.0,0.07692307692307693,0.0
6yhhZ5K,6yhhZ5K,0.0,0.4377880184331797,0,0,0.0,1.0,0.5714285714285714,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
7A4tzDi,7A4tzDi,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7Bb7jmq,7Bb7jmq,0.0,0.14110003825826514,0,0,0.0,0.33333333333333337,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,0.0005120327700972862,1.0,1.0,0.00025581990278843696
7UrSs6z,7UrSs6z,0.0,0.037544503182651845,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08695652173913043,0.07692307692307693,0.0
7VYsFLR,7VYsFLR,0.0,0.21370967741935484,0,0,0.0,1.0,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0
7YioFjF,7YioFjF,0.0,0.38306451612903225,0,0,0.0,1.0,0.875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
7uDSZsn,7uDSZsn,0.0,0.09760132340777501,0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0
88evreP,88evreP,0.0,0.31899641577060933,0,0,0.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
895j9bF,895j9bF,0.0,0.07037540386686496,0,0,0.0,1.0,0.0,0.05405405405405406,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.25,0.0,0.8235294117647058,0.0,0.0
8dCrsFZ,8dCrsFZ,0.0,0.2554489973844813,0,0,0.0,1.0,0.9189189189189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
8eWeeZ3,8eWeeZ3,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8eivseL,8eivseL,0.0,0.31182795698924737,0,0,0.0,1.0,0.6666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
8fSjopu,8fSjopu,0.0,0.0629683936135549,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.75,0.0,0.0
8np87oq,8np87oq,0.0,0.09717338179259784,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.573317250160353e-06,9.573133956863458e-06,0.0,0.0,0.0,0.0,1.0638184700162764e-05,0.010536731192303238,0.0009049773755656109,0.0009033423667570009,0,0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0
97JnrWa,97JnrWa,0.0,0.03225806451612903,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9CdhUaX,9CdhUaX,0.0,0.03873349783311659,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.09523809523809523,0.0,0.0,0.0,0.07692307692307693,0.0
9H8C3oE,9H8C3oE,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9TTeDzA,9TTeDzA,0.0,0.1827956989247312,0,0,0.0,1.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0
9gftE2p,9gftE2p,0.0,0.24596774193548387,0,0,0.0,1.0,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0
9iB3KrR,9iB3KrR,0.0,0.3810483870967742,0,0,0.0,1.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
9odsGXN,9odsGXN,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9qeUkCB,9qeUkCB,0.0,0.019354838709677424,0,0,0.0,0.33333333333333337,0.2666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
